- Vidare (ROOT)
 - så (CONJ)
  - vi (SBJ)
   - vill (VB)
    - tacka (OBJ)
     - Mats (OBJ)
      - Vallmark (OBJ)
       - på (ADP)
        - Isover (OBJ)
         - för (ADP)
          - att (SCONJ)
           - vi (SBJ)
            - fått (VB)
             - tillgång (OBJ)
              - till (ADP)
               - programmet (OBJ)
                - Isover (OBJ)
                 - Energi (OBJ)
 - Gunnar (OBJ)
  - Anderlind (OBJ)
   - för (ADP)
    - lånet (OBJ)
     - av (ADP)
      - David-32 (OBJ)
       - samt (CONJ)
        - för (ADP)
         - den (OBJ)
          - hjälp (OBJ)
           - vi (SBJ)
            - fått (VB)
             - med (ADP)
              - programmet (OBJ)
 - Thomas (OBJ)
  - Blomberg (OBJ)
   - på (ADP)
    - Blocon (OBJ)
     - för (ADP)
      - lånet (OBJ)
       - av (ADP)
        - Heat2 (OBJ)
 - Sven (OBJ)
  - Ahlund (OBJ)
   - för (ADP)
    - hjälp (OBJ)
     - med (ADP)
      - CAD (OBJ)
 - Gudni (OBJ)
  - Johannesson (OBJ)
   - avdelningen (OBJ)
    - Byggnadsteknik (OBJ)
     - KTH (OBJ)
      - för (ADP)
       - support (OBJ)
        - och (CONJ)
         - tillgång (OBJ)
          - till (ADP)
           - programmet (OBJ)
            - ”Consolis Energy +” (OBJ)
 - Ett (OBJ)
  - stort (ADJ)
   - tack (OBJ)
    - till (ADP)
     - Mats (OBJ)
      - Ola (OBJ)
       - Rasmusson (OBJ)
        - på (ADP)
         - Strusoft (OBJ)
          - för (ADP)
           - tillgång (OBJ)
            - till (ADP)
             - och (CONJ)
              - för (ADP)
               - support (OBJ)
                - till (ADP)
                 - programmet (OBJ)
                  - VIP+ (OBJ)

Average dependency distance: 42/23 = 1.83
