| Token | Head | Length |
|:---|---|:---:|
| Jag | vill | 1 |
| vill | skänka | 1 |
| även | skänka | 2 |
| skänka | ett | 1 |
| ett | stort | 1 |
| stort | tack | 1 |
| tack | till | 1 |
| till | Evert Andersson | 1 |
| Evert Andersson | för | 4 |
| för | att | 3 |
| att | de | 2 |
| de | försökt | 1 |
| försökt | att | 2 |
| att | besvara | 1 |
| besvara | alla | 1 |
| alla | mina | 1 |
| mina | möjliga | 1 |
| möjliga | och | 2 |
| och | omöjliga | 1 |
| omöjliga | frågor | 1 |
| frågor | samt | 2 |
| samt | bistått | 1 |
| bistått | med | 1 |
| med | litteratur | 1 |
| litteratur | som | 2 |
| som | varit | 1 |
| varit | ovärderlig | 1 |
| ovärderlig | för | 1 |
| för | mig | 1 |
| mig | i | 1 |
| i | mitt | 1 |
| mitt | arbete | 1 |
| arbete | Jag | 2 |
| Jag | vill | 1 |
| vill | också | 2 |
| också | tacka | 1 |
| tacka | min | 1 |
| min | handledare | 1 |
| handledare | på | 1 |
| på | KTH | 1 |
| KTH | Nils Brandt | 1 |
| Nils Brandt | för | 3 |
| för | stort | 1 |
| stort | stöd | 1 |
| stöd | och | 2 |
| och | goda | 1 |
| goda | idéer | 1 |
| , | Jag | 1 |
| Jag | vill | 1 |
| vill | tacka | 1 |
| tacka | min | 1 |
| min | handledare | 1 |
| handledare | på | 1 |
| på | KTH | 1 |
| KTH | Nils Brandt | 1 |
| Nils Brandt | för | 3 |
| för | stort | 1 |
| stort | stöd | 1 |
| stöd | och | 2 |
| och | goda | 1 |
| goda | idéer | 1 |
| . | Jag | 1 |
| Jag | vill | 1 |
| vill | tacka | 1 |
| tacka | min | 1 |
| min | handledare | 1 |
| handledare | på | 1 |
| på | KTH | 1 |
| KTH | Nils Brandt | 1 |
| Nils Brandt | för | 3 |
| för | stort | 1 |
| stort | stöd | 1 |
| stöd | och | 2 |
| och | goda | 1 |
| goda | idéer | 1 |
| . | Jag | 1 |

Total average dependency distance: 202/107 = 1.89
