- Förekom.   (ROOT)
    - Lukt   (nsubj)
    - kändes   (vpass)
        - i   (prep)
            - flera   (nummod)
            - lägenheter.   (pobj)
- Alla   (det)
    - lägenheterna   (nsubj)
    - hade   (v)
        - mer   (advmod)
        - eller   (cc)
        - mindre   (advmod)
            - missfärgad   (adj)
            - ekparkett.   (obj)
- Del   (flat:name)
    - 2   (flat:number)
    - 1,0   (flat:area)
    - 27.1   (flat:vol)
    - 27.2   (flat:height)
- 92   (flat:num)
- hela   (flat:size)
- omr,   (flat:type)
    - 55   (flat:numroom)
    - st   (flat:suffix)
- 92   (flat:num)
- hela   (flat:size)
- omr,   (flat:type)
    - 100   (flat:numroom)
    - st   (flat:suffix)
- Radhus   (flat:name)
- Del   (flat:name)
    - 1   (flat:number)
- Radhus   (flat:name)
- Lukt   (nsubj)
    - i   (prep)
        - flera   (nummod)
        - lgh   (obj)
    - 1.   (flat:number)
- 2.   (flat:number)
- I   (prep)
    - flera   (nummod)
    - lägenheter   (pobj)
- känns   (vpass)
- stark   (adj)
- lukt   (obj)
    - från   (prep)
        - fuktskadad   (adj)
        - tryckimpregnerat   (adj)
        - trä.   (obj)
- 1,8   (flat:area)
- Lukt   (nsubj)
    - i   (prep)
        - flera   (nummod)
        - lgh   (obj)
- RADHUS   (obj)
- /   (cc)
- PARHUS   (obj)
- BILAGA   (obj)
    - 2.   (flat:number)
