| Word | Head | Distance |
|---|---|---|
| Därefter | presenteras | 2 |
| presenteras | genomförandet | 1 |
| genomförandet | ? | 0 |
| av | den | 1 |
| den | praktiska | 1 |
| praktiska | studien | 1 |
| samt | används | 2 |
| hur | använts | 1 |
| datorprogrammet | använts | 1 |
| TorkaS | använts | 1 |
| Det | undersöks | 1 |
| undersöks | också | 1 |
| också | hur | 1 |
| hur | uttorkningstiden | 1 |
| uttorkningstiden | påverkas | 2 |
| hos | betongklass | 1 |
| betongklass | C40/50 | 1 |
| C40/50 | ? | 0 |
| med | vattencementtal | 1 |
| vattencementtal | 0,40 | 1 |
| tal | 0,40 | 1 |
| som | används | 1 |
| används | av | 1 |
| av | Peab | 1 |
| Peab | i | 1 |
| i | projektet | 1 |
| projektet | på | 1 |
| på | Snapphanevägen | 1 |
| Snapphanevägen | i | 1 |
| i | Järfälla | 1 |
| Järfälla | kan | 2 |
| kan | påverkas | 1 |
| påverkas | av | 1 |
| av | att | 1 |
| att | använda | 1 |
| använda | accelererande | 1 |
| accelererande | tillsatsmedel | 1 |
| Det | är | 1 |
| är | väsentligt | 1 |
| väsentligt | att | 1 |
| att | undersöka | 1 |
| undersöka | och | 1 |
| och | klargöra | 1 |
| klargöra | hur | 1 |
| hur | varaktigheten | 1 |
| varaktigheten | av | 1 |
| av | att | 1 |
| att | tillsätta | 1 |
| tillsätta | accelererande | 1 |
| accelererande | tillsatsmedel | 1 |
| tillsatsmedel | påverkar | 1 |
| påverkar | betongens | 1 |
| betongens | uttorkningsförlopp | 1 |

Average dependency distance: 224/58 = 3.86
