**Tokens:**

1. För
2. att
3. säkerställa
4. fallstudiens
5. representativitet
6. valdes
7. en
8. plattrambro
9. med
10. stor
11. mängd
12. armering
13. som
14. ansågs
15. ha
16. en
17. komplex
18. geometri
19. vilket
20. potentiellt
21. skulle
22. fördelaktigt
23. kunna
24. representeras
25. i
26. 3D
27. Vid
28. skapandet
29. av
30. 3D-modellen
31. och
32. tillhörande
33. ritningar
34. delades
35. processen
36. in
37. i
38. tre
39. steg
40. modellering
41. detaljering
42. samt
43. visualisering
44. Uppbyggandet
45. av
46. 3D-
47. modellen
48. påvisade
49. unika
50. för-
51. och
52. nackdelar
53. i
54. varje
55. steg
56. där
57. också
58. nedlagd
59. arbetstid
60. jämfördes
61. med
62. fallstudieprojektets
63. tidplan

**Dependency Tree:**

```
(För (att (säkerställa (fallstudiens representativitet))))
(valdes (en (plattrembro (med (stor mängd armering (som (ansågs (ha (en komplex geometri (vilket (potentiellt (skulle (fördelaktigt (kunna representeras (i 3D)))))))))
(Vid (skapandet (av (3D-modellen (och (tillhörande ritningar))))))
(delades (processen (in (i (tre steg (modellering detaljering samt visualisering))))))
(Uppbyggandet (av (3D- (modellen (påvisade (unika för- (och nackdelar (i (varje (steg (där (också (nedlagd (ar
