| Word | Head | Dependency Distance |
|---|---|---|
| Mäklarbranschens | anseende | 2 |
| anseende | försämrades | 1 |
| försämrades | och | 1 |
| , | bildades | 1 |
| och | bildades | 1 |
| för | bildades | 1 |
| att | motverka | 1 |
| motverka | bildades | 1 |
| detta | bildades | 1 |
| bildades | en | 1 |
| en | arbetsgrupp | 1 |
| arbetsgrupp | av | 1 |
| av | fastighetsmäklare | 2 |
| fastighetsmäklare | från | 1 |
| från | olika | 1 |
| olika | mäklarföretag | 1 |
| mäklarföretag | i | 1 |
| i | Stockholms | 1 |
| Stockholms | innerstad. | 1 |
| Detta | mynnade | 1 |
| mynnade | ut | 1 |
| ut | i | 1 |
| i | att | 1 |
| att | istället | 1 |
| istället | för | 1 |
| för | att | 1 |
| att | använda | 1 |
| använda | sig | 1 |
| sig | av | 1 |
| av | ett | 1 |
| ett | utgångspris | 1 |
| utgångspris | så | 1 |
| så | infördes | 1 |
| infördes | begreppet | 1 |
| begreppet | accepterat | 1 |
| accepterat | pris | 1 |
| Ett | accepterat | 1 |
| accepterat | pris | 1 |
| pris | innebär | 1 |
| innebär | att | 1 |
| att | det | 1 |
| det | pris | 1 |
| pris | som | 1 |
| som | annonseras | 1 |
| annonseras | ska | 1 |
| ska | vara | 1 |
| vara | på | 1 |
| på | en | 1 |
| en | sådan | 1 |
| sådan | nivå | 1 |
| nivå | att | 1 |
| att | säljaren | 1 |
| säljaren | kan | 1 |
| kan | tänka | 1 |
| tänka | sig | 1 |
| sig | att | 1 |
| att | sälja | 1 |
| sälja | bostaden | 1 |
| bostaden | till | 1 |
| till | det | 1 |
| det | priset | 1 |

Average dependency distance = 1.64
