- Mäklarbranschens (NN)
  - anseende (N)
    - försämrades (V)
- och (CC)
  - för (ADP)
    - att (SC)
      - motverka (V)
        - detta (PN)
      - bildades (V)
        - en (IN)
          - arbetsgrupp (N)
            - av (ADP)
              - fastighetsmäklare (N)
                - från (ADP)
                  - olika (JJ)
                    - mäklarföretag (N)
                      - i (ADP)
                        - Stockholms (N)
                          - innerstad (N)
- Detta (PN)
  - mynnade (V)
    - ut (ADP)
      - i (ADP)
        - att (SC)
          - istället (ADV)
            - för (ADP)
              - att (SC)
                - använda (V)
                  - sig (PRON)
                    - av (ADP)
                      - ett (IN)
                        - utgångspris (N)
                          - så (CC)
                            - infördes (V)
                              - begreppet (N)
                                - accepterat (A)
                                  - pris (N)
- Ett (IN)
  - accepterat (A)
    - pris (N)
      - innebär (V)
        - att (SC)
          - det (PN)
            - pris (N)
              - som (ADP)
                - annonseras (V)
                  - ska (VM)
                    - vara (V)
                      - på (ADP)
                        - en (IN)
                          - sådan (JJ)
                            - nivå (N)
                              - att (SC)
                                - säljaren (N)
                                  - kan (VM)
                                    - tänka (V)
                                      - sig (PRON)
                                        - att (SC)
                                          - sälja (V)
                                            - bostaden (N)
                                              - till (ADP)
                                                - det (PN)
                                                  - priset (N)
