| word | head | dependency distance |
|---|---|---|
| Arbetet | har | 1 |
| har | utförts | 1 |
| utförts | vid | 3 |
| vid | Norsborgs | 1 |
| Norsborgs | vattenverk | 2 |
| vattenverk | på | 3 |
| på | uppdrag | 3 |
| uppdrag | av | 2 |
| av | Stockholm | 1 |
| Stockholm | Vatten | 1 |
| Vatten | AB. | 1 |
| AB. | Handledare | 1 |
| Handledare | från | 2 |
| från | Stockholm | 1 |
| Stockholm | Vatten | 1 |
| Vatten | har | 1 |
| har | varit | 1 |
| varit | Ulf | 1 |
| Ulf | Eriksson | 1 |
| Eriksson | och | 1 |
| och | handledare | 1 |
| handledare | och | 2 |
| och | examinator | 2 |
| examinator | från | 3 |
| från | KTH | 1 |
| KTH | har | 1 |
| har | varit | 1 |
| varit | Per | 1 |
| Per | Olof | 1 |
| Olof | Persson. | 1 |
| Persson. | Ett | 1 |
| Ett | stort | 1 |
| stort | tack | 1 |
| tack | riktas | 1 |
| riktas | till | 3 |
| till | skiftingenjörerna | 1 |
| skiftingenjörerna | och | 1 |
| och | maskinmästarna | 1 |
| maskinmästarna | vid | 3 |
| vid | Norsborgs | 1 |
| Norsborgs | vattenverk | 2 |
| vattenverk | för | 3 |
| för | alla | 1 |
| alla | givande | 1 |
| givande | diskussioner, | 1 |
| diskussioner, | förslag | 1 |
| förslag | och | 1 |
| och | hjälp. | 1 |
| hjälp. | Främst | 1 |
| Främst | vill | 1 |
| vill | jag | 1 |
| jag | tacka | 1 |
| tacka | Lennart | 1 |
| Lennart | Lorenzon | 1 |
| Lorenzon | och | 1 |
| och | Leif | 1 |
| Leif | Andreason | 1 |
| Andreason | för | 3 |
| för | all | 1 |
| all | tid | 1 |
| tid | och | 1 |
| och | engagemang | 1 |
| engagemang | de | 1 |
| de | ägnat | 1 |
| ägnat | mitt | 1 |
| mitt | arbete. | 1 |

Average dependency distance: 89/82=1.09
