* Sedan Kina fortfarande betraktas som ett utvecklingsland, är det också fortfarande mycket annorlunda än Sverige, men det förändras snabbt.
* De flesta miljölagar som studerats är delar av det juridiska ramverket, vilket innebär att det inte finns några exakta gränser eller detaljerade riktlinjer.
* Företaget tar med sig sin spjutspetsteknologi, som fortfarande är ny och okänd för industriparken i Kina.
* Därför är det för tidigt att avgöra om företag F följer den lokala jurisdiktionen i Kina.

| Word | Head | Distance |
|---|---|---|
| Sedan | betraktas | 2 |
| Kina | betraktas | 1 |
| fortfarande | betraktas | 2 |
| betraktas | är | 1 |
| som | betraktas | 3 |
| ett | utvecklingsland | 2 |
| utvecklingsland | är | 3 |
| är | det | 1 |
| det | är | 1 |
| också | annorlunda | 2 |
| fortfarande | annorlunda | 3 |
| mycket | annorlunda | 2 |
| annorlunda | än | 1 |
| än | Sverige | 2 |
| Sverige | är | 3 |
| men | förändras | 2 |
| det | förändras | 1 |
| förändras | snabbt | 2 |
| snabbt | . | 1 |
| De | studerats | 2 |
| flesta | miljölagar | 2 |
| miljölagar | som | 1 |
| som | studerats | 3 |
| studerats | är | 2 |
| är | delar | 1 |
| delar | av | 1 |
| av | ramverket | 2 |
| ramverket | är | 3 |
| juridiska | ramverket | 2 |
| vilket | innebär | 2 |
| innebär | att | 1 |
| att | inga | 2 |
| inga | gränser | 2 |
| gränser | finns | 1 |
| finns | . | 1 |
| eller | riktlinjer | 2 |
| detaljerade | riktlinjer | 2 |
| riktlinjer | ges | 1 |
| ges | . | 1 |
| Företaget | tar | 2 |
| tar | med | 1 |
| med | sig | 2 |
| sig | spjutspetsteknologi | 3 |
| spjutspetsteknologi | som | 1 |
| som | fortfarande | 2 |
| fortfarande | är | 1 |
| är | ny | 1 |
| ny | och | 1 |
| och | okänd | 1 |
| okänd | för | 1 |
| för | industriparken | 2 |
| industriparken | i | 1 |
| i | Kina | 2 |
| Kina | . | 1 |
| Därför | är | 2 |
| är | det | 1 |
| det | för | 2 |
| för | tidigt | 3 |
| tidigt | att | 1 |
| att | avgöra | 2 |
| avgöra | om | 1 |
| om | företag | 2 |
| företag | följer | 1 |
| följer | jurisdiktionen | 2 |
| jurisdiktionen | i | 1 |
| i | Kina | 2 |
| Kina | . | 1 |

The average dependency distance is 118/77=1.53.
