**Dependency Tree:**

```
(ROOT
  (S
    (NP (NP (NN Olika) (NN ber¨akningsmetoder)) (PP (ADVP (IN f¨or)) (NP (NN ickelevererad) (NN energi))))
    (VP (VP (VBP utvecklas) (CC och) (VBN studeras))
      (ADVP (RB samt))
      (VP (VBD st¨alls) (PP (IN i) (NP (NN j¨amf¨orelse) (SBAR (WHNP (WP som)) (S (VP (VBP utnyttjas) (PP (IN i) (NP (NN N¨atnyttomodellen)))))))))
      (NP (NP (DT den) (NN svenska) (NN regleringsverktyget)) (PP (IN f¨or) (NP (NN el-distribution))))))
    (S
      (NP (NP (DT Analysen) (PP (IN av) (NP (NN avbrottsstatistiken))))
      (VP (VBZ visar) (PP (IN p˚a) (NP (DT ett) (NN samband) (PP (IN mellan) (NP (NP (JJ typkundskategorier) (CC och) (NN avbrott)) (SBAR (WHNP (WP som)) (S (VP (VBD g˚ar) (VP (TO att) (VP (VH h¨arleda) (PP (IN till) (NP (DT den) (JJ varierande) (NN t¨atheten) (CC och) (NN redundansen))))))))))))) (PP (IN f¨or) (NP (DT de) (JJ olika) (NN kategorierna))))
    (S
      (NP (NN Prioriteten) (PP (IN av) (NP (NP (JJ olika) (NNS typer)) (PP (IN av) (NP (NNS kunder)))))
      (VP (VBP lyfts) (ADVP (RB ocks˚a)) (PP (IN in) (NP (DT som) (NN aspekt)))))))
```

**Dependency Distance Calculation:**

| Word | Head | Distance |
|---|---|---|
| Olika | ber¨akningsmetoder | 1 |
| ber¨akningsmetoder | utvecklas | 2 |
| f¨or | ickelevererad | 2 |
| ickelevererad | energi | 1 |
| utvecklas | studeras | 0 |
| studeras | st¨alls | 2 |
| samt | st¨alls | 1 |
| st¨alls | i | 2 |
| i | j¨amf¨orelse | 1 |
| j¨amf¨orelse | som | 3 |
| som | utnyttjas | 2 |
| utnyttjas | i | 2 |
| i | N¨atnyttomodellen | 1 |
| den | svenska | 1 |
| svenska | regleringsverktyget | 1 |
| regleringsverktyget | f¨or | 2 |
| f¨or | el-distribution | 1 |
| Analysen | av | 2 |
| av | avbrottsstatistiken | 1 |
| avbrottsstatistiken | visar | 2 |
| visar | p˚a | 2 |
| p˚a | ett | 1 |
| ett | samband | 0 |
| mellan | typkundskategorier | 2 |
| typkundskategorier | avbrott | 1 |
| som | g˚ar | 3 |
| g˚ar | att | 2 |
| att | h¨arleda | 1 |
| h¨arleda | till | 2 |
| till | den | 1 |
| den | varierande | 1 |
| varierande | t¨atheten | 1 |
| t¨atheten | redundansen | 1 |
| redundansen | f¨or | 2 |
| f¨or | de | 1 |
| de | olika | 1 |
| olika | kategorierna | 0 |
| Prioriteten | av | 2 |
| av | olika | 2 |
| olika | typer | 1 |
| typer | av | 2 |
| av | kunder | 1 |
| kunder | lyfts | 2 |
| lyfts | ocks˚a | 1 |
| ocks˚a | in | 2 |
| in | som | 2 |
| som | aspekt | 1 |

**Average Dependency Distance:**

(1 + 2 + 2 + 1 + 0 + 2 + 1 + 2 + 1 + 2 + 1 + 1 + 1 + 2 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 2 + 2 + 1 + 1 + 2 + 1 + 2 + 2 + 2 + 1 + 2 + 2 + 2 + 2 + 1 + 2 + 1 + 1 + 2 + 1 + 2 + 2 + 1 + 1) / 45 = **1.84**
