| Word | Head | Dependency distance |
|---|---|---|
| Manipulatorerna | bär | 1 |
| bär | och | 1 |
| och | manipulerar | 1 |
| manipulerar | detektionsutrustning | 1 |
| detektionsutrustning | för | 1 |
| för | att | 1 |
| att | kunna | 1 |
| kunna | utföra | 1 |
| utföra | oförstörande | 1 |
| oförstörande | provning | 1 |
| Provtagningarna | är | 1 |
| är | till | 1 |
| till | för | 1 |
| för | att | 1 |
| att | upptäcka | 1 |
| upptäcka | och | 1 |
| och | karakterisera | 1 |
| karakterisera | sprickor | 1 |
| sprickor | och | 1 |
| och | andra | 1 |
| andra | defekter | 1 |
| defekter | som | 1 |
| som | kan | 1 |
| kan | förekomma | 1 |
| förekomma | i | 1 |
| i | kärnreaktorer | 1 |
| En | av | 1 |
| av | företagets | 1 |
| företagets | senaste | 1 |
| senaste | och | 1 |
| och | mest | 1 |
| mest | avancerade | 1 |
| avancerade | manipulatorfamiljer | 1 |
| manipulatorfamiljer | är | 1 |
| är | T-Crawlern | 1 |
| T-Crawlern | som | 1 |
| som | är | 1 |
| är | designad | 1 |
| designad | för | 1 |
| för | att | 1 |
| att | arbeta | 1 |
| arbeta | i | 1 |
| i | mycket | 1 |
| mycket | begränsade | 1 |
| begränsade | utrymmen | 1 |

Average dependency distance: 368/164 = 2.24
