| Token | Head | Distance |
|---|---|---|
| Hybrix | är | 1 |
| är | innovativt | 1 |
| , | innovativt | 1 |
| innovativt | sandwichmaterial | 1 |
| , | sandwichmaterial | 1 |
| sandwichmaterial | består | 1 |
| som | består | 2 |
| består | av | 2 |
| av | plåtar | 2 |
| två | plåtar | 1 |
| väldigt | tunna | 1 |
| tunna | plåtar | 1 |
| separerade | av | 2 |
| av | miljontals | 2 |
| miljontals | stålfibrer | 1 |
| Konstruktionen | är | 1 |
| är | i | 2 |
| i | austenitiskt | 2 |
| , | austenitiskt | 1 |
| austenitiskt | rostfritt | 1 |
| , | rostfritt | 1 |
| rostfritt | stål | 1 |
| och | är | 2 |
| är | sammanfogad | 1 |
| sammanfogad | med | 2 |
| med | elastomerlim | 2 |
| . | sammanfogad | 1 |
| Tonvikten | har | 1 |
| har | lagts | 1 |
| lagts | på | 2 |
| på | att | 2 |
| att | undersöka | 2 |
| undersöka | lämpliga | 2 |
| lämpliga | fogningstekniker | 1 |
| för | att | 2 |
| att | sammanfoga | 2 |
| sammanfoga | Hybrix | 2 |
| och | sammanfoga | 2 |
| sammanfoga | galvaniserad | 2 |
| galvaniserad | plåt | 1 |
| . | galvaniserad | 1 |

Average dependency distance = 45/32 = 1.41
