| Token | Head | Dependency Distance |
|---|---|---|
| Konceptet | skall | 6 |
| som | skall | 4 |
| skall | undersökas | 2 |
| är | skall | 4 |
| att | undersökas | 4 |
| reglera | undersökas | 6 |
| turbininloppstrycket | reglera | 4 |
| med | reglera | 6 |
| en | bypassventil | 2 |
| bypassventil | reglera | 4 |
| förbi | bypassventil | 2 |
| turbinen | bypassventil | 2 |
| likt | undersökas | 6 |
| en | extern | 2 |
| extern | wastegate | 2 |
| För | undersökas | 6 |
| att | undersökas | 6 |
| dimensionera | undersökas | 6 |
| denna | bypassventil | 2 |
| bypassventil | dimensionera | 4 |
| inför | dimensionera | 4 |
| tillverkning | inför | 2 |
| samt | undersökas | 6 |
| för | untersökas | 6 |
| att | undersökas | 6 |
| undersöka | undersökas | 4 |
| bypassventilens | inverkan | 3 |
| inverkan | undersöka | 2 |
| på | undersöka | 2 |
| motorn | undersöka | 2 |
| utfördes | undersökas | 6 |
| simuleringar | utfördes | 2 |
| i | utfördes | 2 |
| GT-Power | utfördes | 2 |
| Därefter | undersökas | 6 |
| validerades | undersökas | 6 |
| konceptet | validerades | 4 |
| med | validerades | 6 |
| VGT- | bromsning | 2 |
| bromsning | validerades | 4 |
| och | validerades | 6 |
| bypassventil | validerades | 4 |
| i | validerades | 6 |
| motorprov | validerades | 4 |
| på | validerades | 6 |
| en | Scania | 2 |
| Scania | motorprov | 2 |
| V8 | motorprov | 2 |
| Resultaten | visar | 2 |
| från | visar | 4 |
| motorprovet | visar | 2 |
| visar | är | 4 |
| på | är | 4 |
| en | god | 2 |
| god | avgasbromsprestanda | 3 |
| avgasbromsprestanda | är | 2 |

Average dependency distance = 210/90 = **2.33**
