| Token | Dependency Head | Dependency Distance |
|---|---|---|
| Arbetet | motsvarar | 2 |
| motsvarar | null | 0 |
| 30 | högskolepoäng | 1 |
| högskolepoäng | motsvarar | 2 |
| och | har utförts | 3 |
| har | motsvarar | 4 |
| utförts | null | 0 |
| mellan | januari | 2 |
| januari | har utförts | 3 |
| och | juni | 2 |
| juni | har utförts | 3 |
| 2009 | har utförts | 3 |
| Jag | vill tacka | 2 |
| vill | null | 0 |
| tacka | null | 0 |
| alla | som | 3 |
| som | har varit inblandade | 4 |
| har | vill tacka | 2 |
| varit | har varit inblandade | 1 |
| inblandade | har varit inblandade | 0 |
| i | genomförande | 3 |
| genomförande | har varit inblandade | 2 |
| examensarbetets | genomförande | 1 |
| Ett | tack | 2 |
| tack | vill jag rikta | 3 |
| vill | vill jag rikta | 2 |
| jag | vill jag rikta | 1 |
| rikta | null | 0 |
| till | mina handledare | 3 |
| mina | handledare | 1 |
| handledare | vill jag rikta | 2 |
| Åke | Bjurholm | 1 |
| Bjurholm | mina handledare | 2 |
| och | Anders | 2 |
| Anders | mina handledare | 2 |
| Wiberg | mina handledare | 2 |
| på | Grontmij | 3 |
| Grontmij | mina handledare | 2 |
| för | hjälp | 3 |
| hjälp | vill jag rikta | 2 |
| stöd | vill jag rikta | 2 |
| rådgivning | vill jag rikta | 2 |
| under | tiden | 2 |
| tiden | på Grontmij | 3 |
| på | Grontmij | 2 |
| Grontmij | vill jag rikta | 2 |
| Jag | vill tacka | 2 |
| vill | vill tacka | 2 |
| tacka | null | 0 |
| min | handledare | 1 |
| handledare | vill tacka | 2 |
| prof | Håkan Sundquist | 2 |
| Håkan Sundquist | min handledare | 1 |
| på | Brobyggnad KTH | 3 |
| Brobyggnad KTH | min handledare | 2 |
| för | råd | 3 |
| råd | vill tacka | 2 |
| hans | råd | 1 |
| goda | råd | 1 |
| Ett | tack | 2 |
| tack | riktar jag | 3 |
| riktar | null | 0 |
| jag | riktar | 2 |
| åt | tekn | 2 |
| tekn | riktar jag | 3 |
| lic | null | 0 |

The average dependency distance is 2.14.
