| Token | Head | Dependency distance |
| --- | --- | --- |
| Grundtanken | är | 2 |
| med | Grundtanken | 3 |
| miljöanpassad | produktutveckling | 2 |
| produktutveckling | är | 3 |
| är | . | 1 |
| att | utveckla | 3 |
| utveckla | är | 4 |
| produkter | utveckla | 2 |
| med | produkter | 3 |
| en | minimerad | 2 |
| minimerad | miljöbelastning | 2 |
| miljöbelastning | produkter | 3 |
| , | är | 1 |
| utan | göra | 3 |
| att | göra | 4 |
| göra | avkall | 2 |
| avkall | . | 1 |
| på | avkall | 3 |
| andra | faktorer | 2 |
| viktiga | faktorer | 1 |
| faktorer | göra | 4 |
| såsom | faktorer | 3 |
| funktion | såsom | 2 |
| och | funktion | 1 |
| pris | såsom | 2 |
| I | ökat | 5 |
| takt | I | 4 |
| med | takt | 3 |
| att | ökat | 6 |
| samhällets | miljömedvetenhet | 2 |
| miljömedvetenhet | ökat | 3 |
| har | ökat | 2 |
| ökat | . | 1 |
| har | stigit | 2 |
| även | stigit | 3 |
| efterfrågan | stigit | 2 |
| på | efterfrågan | 3 |
| den | produkter | 2 |
| här | produkter | 1 |
| typen | produkter | 2 |
| av | produkter | 3 |
| produkter | stigit | 3 |
| Tack | bli | 5 |
| vare | Tack | 4 |
| detta | bli | 3 |
| börjar | bli | 2 |
| det | bli | 3 |
| nu | bli | 2 |
| bli | satsa | 3 |
| lönsamt | bli | 2 |
| för | satsa | 3 |
| företag | satsa | 2 |
| att | satsa | 3 |
| satsa | . | 1 |
| på | satsa | 3 |
| miljö | satsa | 2 |
| . | . | 0 |

The average dependency distance is 2.52.
