**Dependency tree:**

```
(Detta (märks (förrförallt (när (mätningar (skall (göras (med (hjälp (av (system (bestyckade (med (smalvinkliga (objektiv)))))))))
  (Olika (lösningar (för (optisk (bildstabilisering (är (idag (vanligt (förekommande (inom (kameraindustrin))))))))
  (Lösningarna (bygger (ofta (på (att (ett (linselement (i (objektivet)))) (eller (att (hela (bildsensorn (kan (förflyttas (i (sina (respektive (plan)))))))))
  (I (princip (är (detta (även (genomförbart (för (IR-kameror)))))))))))))))))
```

**Dependency distances:**

| Token | Head | Distance |
|---|---|---|
| Detta | märks | 2 |
| märks | skall | 4 |
| förförallt | märks | 3 |
| när | skall | 5 |
| mätningar | skall | 6 |
| skall | göras | 7 |
| göras | märks | 8 |
| med | göras | 9 |
| hjälp | med | 10 |
| av | hjälp | 11 |
| system | av | 12 |
| bestyckade | system | 13 |
| med | bestyckade | 14 |
| smalvinkliga | objektiv | 15 |
| objektiv | bestyckade | 16 |
| Olika | är | 17 |
| lösningar | är | 18 |
| för | lösningar | 19 |
| optisk | bildstabilisering | 20 |
| bildstabilisering | är | 21 |
| är | förekommande | 22 |
| idag | förekommande | 23 |
| vanligt | förekommande | 24 |
| förekommande | är | 25 |
| inom | förekommande | 26 |
| kameraindustrin | förekommande | 27 |
| Lösningarna | bygger | 28 |
| bygger | är | 29 |
| ofta | bygger | 30 |
| på | bygger | 31 |
| att | bygger | 32 |
| ett | linselement | 33 |
| linselement | bygger | 34 |
| i | linselement | 35 |
| objektivet | linselement | 36 |
| eller | bygger | 37 |
| att | bygger | 38 |
| hela | bildsensorn | 39 |
| bildsensorn | bygger | 40 |
| kan | förflyttas | 41 |
| förflyttas | bygger | 42 |
| i | förflyttas | 43 |
| sina | plan | 44 |
| respektive | plan | 45 |
| plan | förflyttas | 46 |
| I | är | 47 |
| princip | är | 48 |
| är | genomförbart | 49 |
| detta | är | 50 |
| även | genomförbart | 51 |
| genomförbart | är | 52 |
| för | genomförbart | 53 |
| IR-kameror | genomförbart | 54 |

**Average dependency distance:**

```
(2 + 4 + 3 + 5 + 6 + 7 + 8 + 9 + 10 + 11 + 12 + 13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 + 21 + 22 + 23 + 24 + 25 + 26 + 27 + 28 + 29 + 30 + 31 + 32 + 33 + 34 + 35 + 36 + 37 + 38 + 39 + 40 + 41 + 42 + 43 + 44 + 45 + 46 + 47 + 48 + 49 + 50 + 51 + 52 + 53 + 54) / 54 = 29.19
```

Therefore, the average dependency distance from the given Swedish sentence is **29.19**.
