| Head | Dependent | Dependency Distance |
|---|---|---|
| finns | s.k. | 2 |
| finns | makrovirus | 2 |
| finns | en | 2 |
| finns | handfull | 3 |
| finns | andra | 3 |
| finns | namn | 3 |
| finns | obetydliga | 4 |
| finns | ”virus-versioner” | 4 |
| sprider | Hur | 1 |
| sprider | sig | 1 |
| sprider | virus | 1 |
| kan | sprida | 2 |
| kan | sig | 2 |
| kommer | virus | 2 |
| kan | spridas | 2 |
| spridas | över | 3 |
| spridas | sekundära | 3 |
| spridas | lagringsmedium | 3 |
| lagringsmedium | såsom | 4 |
| lagringsmedium | disketter | 4 |
| lagringsmedium | CD/DVD/MD | 4 |
| lagringsmedium | skivor | 4 |
| lagringsmedium | minnen | 4 |
| skyddar | Hur | 1 |
| skyddar | man | 1 |
| skyddar | sig | 1 |
| skyddar | mot | 2 |
| skyddar | virus | 2 |
| finns | Det | 1 |
| är | ju | 2 |
| kan | gå | 2 |
| ge | fan | 2 |
| ge | i | 2 |
| ge | att | 3 |
| finns | Annars | 1 |
| finns | det | 1 |
| finns | både | 2 |
| finns | hårdvaru | 3 |
| finns | mjukvarumässiga | 3 |
| finns | lösningar | 2 |

Average dependency distance = 2.4
