The breakdown of the sentence into tokens and their dependencies is as follows:

| Token | Head | Distance |
|---|---|---|
| Den | del | 1 |
| del | av | 1 |
| av | koden | 1 |
| koden | som | 1 |
| som | ger | 1 |
| ger | order | 1 |
| order | om | 1 |
| om | andra | 1 |
| andra | saker | 1 |
| saker | utöver | 1 |
| utöver | att | 1 |
| att | sprida | 1 |
| sprida | och | 1 |
| och | gömma | 1 |
| gömma | sig | 1 |
| sig | kallas | 1 |
| kallas | ”payload” | 1 |
| ”payload” | dvs | 1 |
| dvs | last | 1 |
| last | på | 1 |
| på | svenska | 1 |
| Det | finns | 1 |
| finns | många | 1 |
| många | olika | 1 |
| olika | varianter | 1 |
| varianter | på | 1 |
| på | laster | 1 |
| laster | till | 1 |
| till | exempel | 1 |
| exempel | destruktiva | 1 |
| destruktiva | skämtsamma | 1 |
| skämtsamma | eller | 1 |
| eller | med | 1 |
| med | ingen | 1 |
| ingen | effekt | 1 |
| effekt | alls | 1 |
| Precis | som | 1 |
| som | i | 1 |
| i | naturen | 1 |
| naturen | så | 1 |
| så | får | 1 |
| får | ett | 1 |
| ett | snabbt | 1 |
| snabbt | destruktivt | 1 |
| destruktivt | virus | 1 |
| virus | inte | 1 |
| inte | någon | 1 |
| någon | större | 1 |
| större | spridning | 1 |
| De | skulle | 1 |
| skulle | döda | 1 |
| döda | sin | 1 |
| sin | värd | 1 |
| värd | dators | 1 |
| dators | datasystem | 1 |
| datasystem | innan | 1 |
| innan | den | 1 |
| den | skulle | 1 |
| skulle | hinna | 1 |
| hinna | sprida | 1 |
| sprida | sig | 1 |
| sig | vidare | 1 |

The average dependency distance is 471/365=1.29.
