| Word | Head | Dependency Distance |
|---|---|---|
| Ständigt | söker | 1 |
| söker | ungdomar | 1 |
| ungdomar | arbete | 1 |
| arbete | nekas | 1 |
| nekas | oftast | 1 |
| oftast | p.g.a. | 1 |
| p.g.a. | att | 1 |
| att | det | 2 |
| det | finns | 1 |
| finns | plats | 1 |
| plats | eller | 1 |
| eller | att | 1 |
| att | företaget | 2 |
| företaget | har | 1 |
| har | råd | 1 |
| råd | med | 2 |
| med | att | 3 |
| att | anställa | 2 |
| anställa | fler | 1 |
| Många | blir | 1 |
| blir | tyvärr | 1 |
| tyvärr | nöjda | 1 |
| nöjda | med | 2 |
| med | att | 3 |
| att | bara | 4 |
| bara | vara | 1 |
| vara | timanställda | 1 |
| timanställda | eller | 1 |
| eller | arbeta | 1 |
| arbeta | deltid | 1 |
| deltid | | 0 |
| Att | leva | 1 |
| leva | på | 2 |
| på | en | 3 |
| en | halv | 4 |
| halv | lön | 1 |
| lön | eller | 1 |
| eller | ännu | 2 |
| ännu | mindre | 1 |
| mindre | kan | 1 |
| kan | fungera | 1 |
| fungera | för | 2 |
| för | vissa | 3 |
| vissa | personer | 1 |
| personer | men | 1 |
| men | för | 2 |
| för | andra | 3 |
| andra | är | 1 |
| är | det | 2 |
| det | näst | 3 |
| näst | intill | 2 |
| intill | omöjligt | 1 |
| omöjligt | | 0 |
| Att | vara | 1 |
| vara | en | 2 |
| en | arbetslös | 3 |
| arbetslös | ungdom | 1 |
| ungdom | över | 2 |
| över | huvudtaget | 1 |
| huvudtaget | är | 1 |
| är | ett | 2 |
| ett | problem | 1 |
| problem | inom | 2 |
| inom | nationalekonomin | 1 |
| nationalekonomin | | 0 |

The average dependency distance is 109/77 = 1.42.
