**Dependency Analysis:**

| Token | Head | Distance |
|---|---|---|
| Många | reflekterat | 4 |
| har | reflekterat | 2 |
| efteråt | reflekterat | 2 |
| reflekterat | fördel | 1 |
| kring | reflekterat | 2 |
| vad | syftade | 3 |
| han | syftade | 1 |
| syftade | fördel | 1 |
| på | påstod | 1 |
| när | påstod | 2 |
| han | påstod | 1 |
| påstod | fördel | 1 |
| att | var | 2 |
| Sverige | var | 1 |
| var | fördel | 1 |
| i | god | 1 |
| god | beredskap | 1 |
| Avsåg | fördel | 1 |
| han | avsåg | 1 |
| den | beredskapen | 1 |
| militära | beredskapen | 1 |
| beredskapen | fördel | 1 |
| eller | försörjningen | 1 |
| livsmedelsförsörjningen | fördel | 1 |
| Sveriges | försvar | 1 |
| försvar | förbättringar | 2 |
| vid | var | 1 |
| denna | tidpunkt | 1 |
| tidpunkt | var | 1 |
| var | förbättringar | 1 |
| nämligen | behov | 1 |
| i | behov | 1 |
| stort | behov | 1 |
| behov | förbättringar | 1 |
| av | förbättringar | 1 |
| förbättringar | fördel | 1 |
| och | modernisering | 1 |
| modernisering | fördel | 1 |
| Under | skulle | 1 |
| kriget | komma | 1 |
| skulle | bryta | 1 |
| samlingsregeringen | skulle | 1 |
| flera | gånger | 1 |
| gånger | bryta | 1 |
| komma | bryta | 1 |
| att | bryta | 1 |
| bryta | fördel | 1 |
| mot | neutraliteten | 1 |
| neutraliteten | fördel | 1 |
| både | fördel | 1 |
| till | fördel | 1 |
| de | Allierades | 1 |
| Allierades | fördel | 1 |
| och | Axelmakternas | 1 |
| Axelmakternas | fördel | 1 |
| fördel | fördel | 0 |

**Average Dependency Distance:**

Total distance = 64
Number of tokens = 52

Average distance = 64 / 52 = **1.23**
