```
Största (advmod:har)
delen (nsubj:har)
av (prep:del)
Sverige (pobj:av)
har (root)
fastlandsklimat (dobj:har)
Det (nsubj:betyder)
betyder (root)
att (complm:betyder)
det (nsubj:är)
är (root)
kalla (amod:vintrar)
vintrar (dobj:är)
och (cc:somrar)
varma (amod:somrar)
somrar (conj:vintrar)
Anledningen (nsubj:beror)
till (prep:anledningen)
att (complm:beror)
Sverige (nsubj:har)
har (root)
relativt (advmod:varmt)
varmt (amod:klimat)
klimat (dobj:har)
om (mark:jämför)
man (nsubj:jämför)
jämför (advcl:beror)
med (prep:jämför)
andra (amod:länder)
länder (pobj:med)
på (prep:samma)
samma (amod:breddgrad)
breddgrad (pobj:på)
beror (root)
på (prep:beror)
Golfströmmen (pobj:på)
Golfströmmen (nsubj:för)
för (root)
med (prep:för)
sig (pobj:för)
varmt (amod:vatten)
vatten (dobj:för)
ifrån (prep:vatten)
Mexikanska (amod:golfen)
golfen (pobj:ifrån)
När (advmod:kommer)
vattnet (nsubj:kommer)
kommer (root)
till (prep:kommer)
Sverige (pobj:till)
så (conj:värmer)
värmer (root)
det (nsubj:värmer)
upp (advmod:värmer)
större (amod:delen)
delen (dobj:värmer)
av (prep:delen)
landet (pobj:av)
Det (nsubj:är)
är (root)
mycket (advmod:varmare)
varmare (amod:i)
i (prep:varmare)
Nigeria (pobj:i)
än (conj:är)
vad (complm:är)
det (nsubj:är)
är (root)
i (prep:är)
Sverige (pobj:i)
Nigeria (nsubj:har)
har (root)
bara (advmod:årstid)
en (nummod:årstid)
årstid (dobj:har)
medan (conj:har)
Sverige (nsubj:har)
har (root)
fyra (nummod:årstid)
```

The average dependency distance is 102/53 = 1.92.
