| Token | Head | Distance |
|---|---|---|
| Laxfiske | är | 1 |
| är | förbjudet | 1 |
| förbjudet | | 0 |
| runt | Sveriges | 2 |
| Sveriges | kuster | 2 |
| kuster | | 0 |
| för | att | 2 |
| att | den | 3 |
| den | är | 2 |
| är | drabbad | 1 |
| drabbad | av | 2 |
| av | en | 3 |
| en | virussjukdom | 3 |
| virussjukdom | | 0 |
| Ål | fångas | 1 |
| fångas | mest | 1 |
| mest | | 0 |
| vid | Sveriges | 3 |
| Sveriges | sydkust | 3 |
| sydkust | | 0 |
| och | i | 2 |
| i | Danmark | 3 |
| Danmark | | 0 |
| Plattfiskarna | fångas | 1 |
| fångas | mest | 1 |
| mest | i | 2 |
| i | södra | 3 |
| södra | Östersjön | 3 |
| Östersjön | | 0 |
| särskilt | av | 2 |
| av | danskar | 3 |
| danskar | | 0 |
| Sik | och | 1 |
| och | Siklöja | 1 |
| Siklöja | är | 1 |
| är | viktigt | 1 |
| viktigt | i | 2 |
| i | Bottniska | 3 |
| Bottniska | viken | 3 |
| viken | | 0 |
| Siklöja | fångas | 1 |
| fångas | också | 1 |
| också | | 0 |
| i | finska | 3 |
| finska | och | 3 |
| och | svenska | 3 |
| svenska | sjöar | 3 |
| sjöar | | 0 |
| En | del | 1 |
| del | sötvattenfiskar | 2 |
| sötvattenfiskar | som | 3 |
| som | gädda | 4 |
| gädda | och | 3 |
| och | abborre | 3 |
| abborre | klarar | 1 |
| klarar | den | 2 |
| den | låga | 3 |
| låga | salthalten | 3 |
| salthalten | i | 4 |
| i | Bottenviken | 5 |
| Bottenviken | och | 5 |
| och | norra | 6 |
| norra | Östersjön | 6 |
| Östersjön | | 0 |
| . | | 0 |

The average dependency distance is 102/78 = 1.31
