-	Mängden_NOUN (head=kan_VERB, distance=3)
 -	av_ADP (head=Mängden_NOUN, distance=1)
 -	vattnet_NOUN (head=variera_VERB, distance=2)
-	kan_VERB (head=lämpligt_ADJ, distance=2)
 -	man_PRON (head=kan_VERB, distance=1)
 -	dessutom_ADV (head=kan_VERB, distance=1)
-	variera_VERB (head=lämpligt_ADJ, distance=2)
 -	för_CONJ (head=kan_VERB, distance=3)
  - hur_ADV (head=mycket_ADV, distance=1)
   - mycket_ADV (head=få_VERB, distance=1)
    - man_PRON (head=få_VERB, distance=1)
    - vill_VERB (head=få_VERB, distance=1)
   - ut_ADP (head=mycket_ADV, distance=1)
    - för_ADP (head=ut_ADP, distance=1)
     - tillfället_NOUN (head=för_ADP, distance=1)
-	Sveriges_NOUN (head=kraftverk_NOUN, distance=2)
-	kraftverk_NOUN (head=har_VERB, distance=1)
 -	Sverige_NOUN (head=har_VERB, distance=1)
  - sammanlagt_ADV (head=har_VERB, distance=1)
-	har_VERB (head=renoverade_VERB, distance=3)
 -	72_NOUN (head=kraftverken_NOUN, distance=2)
  - vattenkraftverk_NOUN (head=kraftverken_NOUN, distance=1)
-	kraftverken_NOUN (head=renoverade_VERB, distance=1)
 -	Alla_DET (head=kraftverken_NOUN, distance=1)
 -	de_DET (head=kraftverken_NOUN, distance=1)
-	renoverade_VERB (head=byggda_VERB, distance=1)
 -	72_NOUN (head=renoverade_VERB, distance=1)
  - kraftverken_NOUN (head=renoverade_VERB, distance=1)
-	byggda_VERB (head=renoverade_VERB, distance=1)
 -	1900-talet_NOUN (head=byggda_VERB, distance=1)
 -	men_CONJ (head=renoverade_VERB, distance=1)
  - självklart_ADV (head=renoverade_VERB, distance=1)
-	Många_DET (head=verk_NOUN, distance=2)
 -	av_ADP (head=verk_NOUN, distance=1)
  - dessa_DET (head=verk_NOUN, distance=1)
-	verk_NOUN (head=finns_VERB, distance=1)
 -	de_DET (head=verk_NOUN, distance=1)
 -	finns_VERB (head=renoverade_VERB, distance=3)
  - i_ADP (head=finns_VERB, distance=1)
   - Umälven_NOUN (head=i_ADP, distance=1)
   - Norrland_NOUN (head=i_ADP, distance=1)
-	Fördelar_NOUN (head=finns_VERB, distance=3)

The average dependency distance is 1.79.
