**Tokens:**

| Token | Head | Dependency Distance |
|---|---|---|
| Den | har | 2 |
| mångformiga | gruppen | 2 |
| gruppen | fiskar | 1 |
| fiskar | har | 1 |
| många | karaktärer | 1 |
| olika | karaktärer | 2 |
| karaktärer | skiller | 1 |
| som | skiller | 3 |
| skiller | sig | 2 |
| sig | åt | 2 |
| men | skiller | 4 |
| samtidigt | är | 2 |
| många | som | 1 |
| är | gemensamma | 1 |
| som | skiller | 4 |
| skiller | dem | 2 |
| dem | ifrån | 2 |
| övriga | djurgrupper | 2 |
| En | fisk | 1 |
| fisk | har | 1 |
| en | kropp | 2 |
| strömformad | kropp | 2 |
| kropp | anpassad | 2 |
| anpassad | för | 2 |
| för | ett | 2 |
| ett | liv | 2 |
| liv | i | 2 |
| i | vatten | 2 |
| sidolinjesystem | fungerar | 1 |
| som | fungerar | 3 |
| fungerar | som | 2 |
| ett | sinne | 2 |
| sjätte | sinne | 2 |
| sinne | känner | 1 |
| känner | av | 2 |
| av | tryckförändringarna | 2 |
| tryckförändringarna | i | 2 |
| i | omgivningen | 2 |
| och | har | 3 |
| så | har | 2 |
| har | de | 1 |
| de | fenor | 1 |
| parvis | fenor | 2 |
| fenor | fungerar | 1 |
| som | fungerar | 3 |
| fungerar | som | 2 |
| stabilisatorer | fungerar | 2 |
| och | hjälper | 3 |
| hjälper | de | 1 |
| de | att | 2 |
| att | simma | 2 |
| . | . | 0 |

**Average Dependency Distance:**

Total dependency distance = 101
Number of words = 71
Average dependency distance = 101 / 71 = **1.42**
