| Word | Dependency Distance |
|---|---|
| Det | 1 |
| höga | 2 |
| befolkningsantalet | 3 |
| beror | 1 |
| på | 1 |
| att | 1 |
| det | 1 |
| föds | 1 |
| mera | 1 |
| barn | 1 |
| än | 1 |
| vad | 1 |
| det | 1 |
| dör | 1 |
| människor | 1 |
| Afrikas | 2 |
| medelålder | 3 |
| är | 1 |
| låg | 1 |
| ca | 1 |
| 45 | 1 |
| % | 1 |
| av | 1 |
| Afrikas | 2 |
| invånare | 3 |
| är | 1 |
| bara | 1 |
| 15 | 1 |
| år | 1 |
| I | 1 |
| de | 1 |
| olika | 1 |
| kontinenterna | 1 |
| är | 1 |
| födelse- | 2 |
| och | 1 |
| dödstalet | 2 |
| mycket | 1 |
| variabelt | 1 |
| Det | 1 |
| högsta | 2 |
| födelsetalet | 3 |
| är | 1 |
| i | 1 |
| Väst | 1 |
| och | 1 |
| Östafrika | 1 |
| , | 0 |
| som | 1 |
| också | 1 |
| hade | 1 |
| den | 1 |
| högsta | 2 |
| tillväxten | 3 |
| ( | 1 |
| 2.9 | 1 |
| % | 1 |
| Per | 1 |
| år | 1 |
| ) | 0 |
| I | 1 |
| norra | 1 |
| och | 1 |
| centrala | 1 |
| delen | 1 |
| av | 1 |
| kontinenten | 1 |
| så | 1 |
| är | 1 |
| den | 1 |
| årliga | 1 |
| befolkningstillväxten | 1 |
| 2.8 | 1 |
| % | 1 |
| och | 1 |
| i | 1 |
| söder | 1 |
| 2.2 | 1 |
| % | 1 |
| per | 1 |
| år | 1 |

Average dependency distance: (1+2+3+1+1+1+1+1+1+1+1+1+1+1+2+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+2+3+1+1+1+1+1+1+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1) / 113 = 1.2565
