| Token | Head | Length |
|---|---|---|
| Vad | som | 1 |
| som | lurar | 1 |
| lurar | i | 1 |
| i | buskarna | 1 |
| buskarna | bakom | 1 |
| bakom | de | 1 |
| de | tre | 1 |
| tre | på | 1 |
| på | hemväg | 1 |
| hemväg | det | 1 |
| det | törs | 1 |
| törs | jag | 1 |
| jag | inte | 1 |
| inte | berätta | 1 |
| berätta | ! | 0 |
| Sandstormar | och | 1 |
| och | andra | 1 |
| andra | katastrofer | 1 |
| katastrofer | väntar | 1 |
| väntar | den | 1 |
| den | alltmer | 1 |
| alltmer | handlingskraftiga | 1 |
| handlingskraftiga | Kuki | 1 |
| Kuki | som | 1 |
| som | växer | 1 |
| växer | med | 1 |
| med | sin | 1 |
| sin | uppgift | 1 |
| uppgift | för | 1 |
| för | var | 1 |
| var | dag | 1 |
| dag | som | 1 |
| som | går | 1 |
| går | . | 0 |
| Paolo | är | 1 |
| är | en | 1 |
| en | orolig | 1 |
| orolig | själ | 1 |
| själ | och | 1 |
| och | han | 1 |
| han | är | 1 |
| är | borta | 1 |
| borta | på | 1 |
| på | jakt | 1 |
| jakt | med | 1 |
| med | " | 0 |
| " | de | 1 |
| de | andra | 1 |
| andra | pojkarna | 1 |
| pojkarna | " | 0 |
| " | långa | 1 |
| långa | tider | 1 |
| tider | . | 0 |
| Det | är | 1 |
| är | då | 1 |
| då | Kuki | 1 |
| Kuki | verkligen | 1 |
| verkligen | får | 1 |
| får | visa | 1 |
| visa | vad | 1 |
| vad | hon | 1 |
| hon | går | 1 |
| går | för | 1 |
| för | . | 0 |
| Ema | som | 1 |
| som | går | 1 |
| går | på | 1 |
| på | internatskola | 1 |
| internatskola | njuter | 1 |
| njuter | varje | 1 |
| varje | gång | 1 |
| gång | han | 1 |
| han | får | 1 |
| får | vara | 1 |
| vara | hemma | 1 |
| hemma | . | 0 |
| Han | växer | 1 |
| växer | upp | 1 |
| upp | till | 1 |
| till | en | 1 |
| en | stilig | 1 |
| stilig | ung | 1 |
| ung | man | 1 |
| man | . | 0 |

Average dependency distance: 208/161 = 1.292
