| Word | Head | Dependency distance |
|---|---|---|
| Nykolonialism | utövades | 1 |
| utövades | mest | 2 |
| mest | av | 3 |
| av | Storbritannien | 4 |
| och | Frankrike | 4 |
| De | fortsätter | 1 |
| fortsätter | att | 2 |
| att | ha | 3 |
| ha | inflytande | 4 |
| över | kolonier | 5 |
| sina | kolonier | 6 |
| gamla | kolonier | 7 |
| Vad | kom | 1 |
| kom | först | 2 |
| först | Kolonialismen | 3 |
| Kolonialismen | kom | 1 |
| kom | före | 2 |
| före | imperialismen | 3 |
| Eller | gjorde | 1 |
| gjorde | den | 2 |
| verkligen | det | 3 |
| I | detta | 2 |
| detta | är | 3 |
| är | ett | 4 |
| ett | faktum | 5 |
| På | började | 2 |
| 1500-talet | började | 3 |
| vi | kolonisera | 1 |
| kolonisera | delar | 2 |
| av | världen | 3 |
| denna | imperialism | 2 |
| imperialism | Ledarna | 1 |
| Ledarna | började | 2 |
| började | få | 3 |
| få | smak | 4 |
| på | utvidga | 5 |
| utvidga | landets | 6 |
| landets | möjligheter | 7 |
| och | ville | 1 |
| ville | inte | 2 |
| bara | öka | 3 |
| öka | landets | 4 |
| landets | tillväxt | 5 |
| utan | även | 1 |
| även | gränser | 2 |
| rikets | gränser | 3 |

Average dependency distance = 3.58
