**Tokens:**

1. Nomader
2. har
3. ett
4. sällsynt
5. lokalsinne
6. som
7. alltid
8. för
9. dem
10. tillbaka
11. till
12. flocken
13. .
14. När
15. Waris
16. är
17. 12
18. år
19. anser
20. hennes
21. far
22. att
23. det
24. är
25. dags
26. för
27. Waris
28. att
29. gifta
30. sig
31. .
32. En
33. 60-årig
34. väljs
35. ut
36. och
37. är
38. den
39. som
40. skall
41. bli
42. Waris
43. äkta
44. make
45. .
46. Att
47. Waris
48. blir
49. olycklig
50. är
51. inget
52. man
53. förvånas
54. över
55. .
56. Precis
57. som
58. sin
59. äldre
60. syster
61. någongång
62. i
63. tiden
64. gjorde
65. bestämmer
66. sig
67. Waris
68. för
69. att
70. rymma
71. .
72. Genom
73. milslång
74. öken
75. springer
76. en
77. spinkig
78. liten
79. flicka
80. barfota
81. i
82. flera
83. veckor
84. för
85. att
86. leta
87. redan
88. på
89. en
90. släkting
91. bosatt
92. i
93. Mogadishu
94. .

**Dependency Tree:**

```
Nomader (root)
  har (1)
    ett (3)
      sällsynt (4)
        lokalsinne (5)
          som (6)
            för (8)
              dem (9)
                tillbaka (10)
                  flock (12)
När (14)
  Waris (15)
    är (16)
      12 (17)
        år (18)
anser (19)
  hennes (20)
    far (21)
      att (22)
        det (23)
          är (24)
            dags (25)
              för (26)
                Waris (27)
                  att (28)
                    gifta (29)
                      sig (30)
En (32)
  60-årig (33)
    väljs (34)
      ut (35)
        och (36)
          är (37)
            den (38)
              som (39)
                skall (40)
                  bli (41)
                    Waris (42)
                      äkta (43)
                        make (44)
Att (46)
  Waris (47)
    blir (48)
      olycklig (49)
        är (50)
          inget (51)
            man (52)
              förvånas (53)
                över (54)
Precis (56)
  som (57)
    sin (58)
      äldre (59)
        syster (60)
          någongång (61)
            i (62)
              tiden (63)
          gjorde (64)
bestämmer (65)
  sig (66)
    Waris (67)
      för (68)
        att (69)
          rymma (70)
Genom (72)
  milslång (73)
    öken (74)
    springer (75)
      en (76)
        spinkig (77)
          liten (78)
            flicka (79)
              barfota (80)
                i (81)
                  flera (82)
                    veckor (83)
                      för (84)
                        att (85)
                          leta (86)
                            redan (87)
                              på (88)
                                en (89)
                                  släkting (90)
                                    bosatt (91)
                                      i (92)
                                        Mogadishu (93)
```

**Average Dependency Distance:**

```
(1 + 1 + 3 + 1 + 1 + 8 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 8 + 1 + 1 + 1 + 1 + 1 + 1 + 8 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 8 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 1) / 93 = 1.57
```

Therefore, the average dependency distance for the given sentence is 1.57.
