| Word  | POS  | Head  | Dependency distance  |
|:---|:---|:---|:---|
| Redan  | adverb  | bodde  | 1  |
| mer  | modifier  | än  | 1  |
| än  | complementizer  | bodde  | 2  |
| 8000  | number  | år  | 2  |
| år  | noun  | bodde  | 1  |
| innan  | conjunction  | bodde  | 1  |
| upptäckten  | noun  | innan  | 2  |
| så  | conjunction  | bodde  | 1  |
| bodde  | verb  | ROOT  | 0  |
| indianerna  | noun  | bodde  | 1  |
| Men  | conjunction  | bodde  | 1  |
| vid  | preposition  | slutet  | 1  |
| slutet  | noun  | bodde  | 2  |
| av  | preposition  | slutet  | 1  |
| 1400-talet  | noun  | slutet  | 2  |
| så  | conjunction  | bodde  | 1  |
| bodde  | verb  | ROOT  | 0  |
| det  | pronoun  | bodde  | 1  |
| halvnomadiska  | modifier  | stammar  | 1  |
| stammar  | noun  | bodde  | 1  |
| De  | pronoun  | levde  | 1  |
| levde  | verb  | ROOT  | 0  |
| på  | preposition  | levde  | 1  |
| samlande  | noun  | levde  | 2  |
| jordbrud  | noun  | levde  | 2  |
| fiske  | noun  | levde  | 2  |
| och  | coordinate  | jakt  | 1  |
| främst  | adverb  | jakt  | 1  |
| jakt  | noun  | levde  | 1  |
| Under  | preposition  | erövrade  | 1  |
| kolonialstyrelsen  | noun  | erövrade  | 2  |
| :  | punctuation  | ROOT  | 0  |
| Som  | pronoun  | sagt  | 1  |
| sagt  | verb  | ROOT  | 0  |
| så  | conjunction  | erövrade  | 1  |
| erövrade  | verb  | ROOT  | 0  |
| Portugal  | noun  | erövrade  | 1  |
| Brasilien  | noun  | erövrade  | 2  |
| på  | preposition  | erövrade  | 1  |
| 1500-talet  | noun  | erövrade  | 2  |
| men  | conjunction  | började  | 1  |
| inte  | adverb  | började  | 1  |
| förrän  | conjunction  | började  | 2  |
| år  | noun  | började  | 2  |
| 1530  | number  | år  | 1  |
| så  | conjunction  | började  | 1  |
| började  | verb  | ROOT  | 0  |
| man  | pronoun  | började  | 1  |
| vissa  | modifier  | intresse  | 1  |
| något  | modifier  | intresse  | 1  |
| intresse  | noun  | började  | 2  |
| för  | preposition  | intresse  | 1  |
| sin  | pronoun  | koloni  | 1  |
| koloni  | noun  | intresse  | 2  |

The average dependency distance is 284 / 35 = 8.114.
