| Token | Head | Dependency distance |
|---|---|---|
| Men | köper | 3 |
| om | köper | 2 |
| vi | köper | 1 |
| köper | utnyttja | 1 |
| för | köper | 2 |
| billigt | köper | 1 |
| så | räcker | 1 |
| det | räcker | 1 |
| inte | räcker | 1 |
| ens | räcker | 1 |
| räcker | utnyttja | 1 |
| till | räcker | 1 |
| mat | räcker | 1 |
| för | räcker | 1 |
| dagen | mat | 1 |
| till | räcker | 1 |
| dem | räcker | 1 |
| då | utnyttja | 1 |
| är | utnyttja | 1 |
| det | utnyttja | 1 |
| att | utnyttja | 1 |
| utnyttja | utnyttja | 0 |
| Om | hjälper | 2 |
| vi | hjälper | 1 |
| nu | hjälper | 1 |
| samarbetar | hjälper | 1 |
| så | hjälper | 1 |
| hjälper | hjälper | 0 |
| vi | bli | 2 |
| dom | bli | 1 |
| sjuka | bli | 1 |
| att | bli | 1 |
| bli | bli | 0 |
| friskare | bli | 1 |
| På | bygga | 2 |
| så | bygga | 1 |
| sätt | bygga | 1 |
| kan | bygga | 1 |
| de | bygga | 1 |
| bygga | bygga | 0 |
| upp | bygga | 1 |
| sitt | samhälle | 1 |
| samhälle | bygga | 1 |
| De | bo | 1 |
| slipper | bo | 1 |
| bo | bo | 0 |
| i | bo | 1 |
| hus | bo | 1 |
| gjorda | hus | 1 |
| av | gjorda | 1 |
| gammalt | skräp | 1 |
| skräp | gjorda | 1 |
| som | förstör | 1 |
| förstör | förstör | 0 |
| även | förstör | 1 |
| miljön | förstör | 1 |
| Ett | uppmuntras | 2 |
| kretslopp | uppmuntras | 1 |
| som | uppmuntras | 1 |
| är | uppmuntras | 1 |
| bra | uppmuntras | 1 |
| för | uppmuntras | 1 |
| miljön | uppmuntras | 1 |
| och | uppmuntras | 1 |
| mänskligheten | uppmuntras | 1 |
| bör | uppmuntras | 1 |
| uppmuntras | uppmuntras | 0 |
| Afrikas | odlingar | 1 |
| odlingar | odlingar | 0 |
| Det | livnära | 1 |
| kan | livnära | 1 |
| vara | livnära | 1 |
| ganska | svårt | 1 |
| svårt | livnära | 1 |
| att | livnära | 1 |
| livnära | livnära | 0 |
| sig | livnära | 1 |
| på | livnära | 1 |
| växter | livnära | 1 |
| i | livnära | 1 |
| Afrika | livnära | 1 |
| eftersom | livnära | 1 |
| det | livnära | 1 |
| är | livnära | 1 |
| så | torr | 1 |
| torr | torr | 0 |
| mark | torr | 1 |

Average dependency distance: 1.55
