**Dependency Tree:**

```
(HändelseförloppDen (Händelseförlopp (första (kolonin (i (Afrika (grundades (av (holländarna)))))) (intog (en (stor (del (i (södra (Afrika)))))) (och (den (delen (döptes (till (Kapkolonin)))))) (grundades (på (1600-talet)))) (var (inte (så (många (som (tänkte (på (att (Afrika (fanns)))))))) (eftersom (det (var (så (intressant (med (Amerika (vid (just (denna (tid))))))))) (De (inre (delarna (av (Afrika (lämnades (orörda)))))) (De (första (länderna (som (var (med (och (koloniserade (Afrika)))))) (var: (Storbritannien, (Frankrike (och (Portugal)))))) (Storbritannien (intog (Kapland, (Sierra (Leone (och (Guldkusten))))))
```

**Dependency Distances:**

| Token | Head | Distance |
|---|---|---|
| HändelseförloppDen | Händelseförlopp | 1 |
| första | kolonin | 1 |
| kolonin | grundades | 2 |
| i | Afrika | 1 |
| Afrika | grundades | 2 |
| grundades | holländarna | 3 |
| holländarna | grundades | 2 |
| intog | holländarna | 3 |
| en | del | 1 |
| stor | del | 1 |
| del | intog | 2 |
| i | Afrika | 1 |
| Afrika | intog | 2 |
| södra | Afrika | 1 |
| Afrika | intog | 2 |
| och | döptes | 2 |
| den | delen | 1 |
| delen | döptes | 2 |
| döptes | intog | 3 |
| till | döptes | 2 |
| Kapkolonin | döptes | 2 |
| grundades | 1600-talet | 1 |
| 1600-talet | grundades | 1 |
| var | tänkte | 2 |
| inte | var | 1 |
| så | var | 1 |
| många | tänkte | 1 |
| som | tänkte | 2 |
| tänkte | var | 2 |
| på | tänkte | 2 |
| att | fanns | 2 |
| Afrika | fanns | 1 |
| fanns | var | 2 |
| eftersom | var | 2 |
| det | var | 2 |
| var | intressant | 2 |
| så | intressant | 1 |
| intressant | var | 2 |
| med | intressant | 2 |
| Amerika | intressant | 1 |
| vid | denna | 1 |
| denna | intressant | 2 |
| tid | intressant | 2 |
| De | lämnades | 2 |
| inre | delarna | 1 |
| delarna | lämnades | 2 |
| av | Afrika | 1 |
| Afrika | lämnades | 2 |
| lämnades | var | 2 |
| orörda | lämnades | 2 |
| De | var | 2 |
| första | länderna | 1 |
| länderna | var | 2 |
| som | var | 2 |
| var | med | 2 |
| med | var | 2 |
| och | koloniserade | 2 |
| koloniserade | var | 2 |
| Afrika | koloniserade | 1 |
| var: | koloniserade | 1 |
| Storbritannien, | var: | 1 |
| Frankrike | Portugal | 1 |
| Portugal | var: | 1 |
| Storbritannien | intog | 2 |
| Kapland, | intog | 1 |
| Sierra | Leone | 1 |
| Leone | Kapland | 1 |
| Guldkusten | Kapland | 1 |

**Average Dependency Distance:**

(1 + 1 + 2 + 1 + 2 + 3 + 2 + 2 + 1 + 1 + 1 + 2 + 1 + 2 + 3 + 2 + 2 + 1 + 1 + 2 + 2 + 2 + 1 + 1 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 1 + 1 + 1 + 2 + 2 + 1 + 2 + 2 + 1 + 1 + 1 + 2 + 2 + 1) / 45 = **2.33**
