**Dependency tree:**

```
(ROOT
  (S
    (NP (NP (NN Socialdemokraterna)) (SBAR (S (VP (V ville) (S (VP (V att) (S (NP (NN alla)) (VP (V skulle) (VP (V få) (VP (V rösta)))))))))
    (CC och)
    (S
      (NP (NNP Efter) (NN tag))
      (VP (V lyckades) (S (VP (V göra) (S (VP (S (NP (NN alla)) (NP (JJ män) (PP (IN över) (NP (QP (CD 24) (JJ år)))))) (VP (V fick) (VP (V rösta) (PP (IN i) (NP (NP (NNS riksdagens) (NN andra) (NN kammaren))) (PRN (,)))))) (NP (NP (NNP Efter) (JJ ännu) (JJ mer) (NN jobb)) (CC och) (NN kraft)) (VP (V lyckades) (S (NP (PRP de)) (ADVP (NP (NP (NNP år) (CD 1918))) (PRT (,))) (VP (V göra) (S (VP (S (NP (NN alla)) (NP (PP (IN över) (NP (QP (CD 18) (JJ år))))) (VP (V fick) (VP (V rösta)))) (PRN (,)))))) (NP (NP (NNP År) (CD 1921)) (VP (V blev) (NP (NP (NNP Agda) (NNP Östlund)) (CC och) (NP (NNP Nelly) (NNP Thüring)) (NP (NP (NN de) (JJ första) (NNS socialdemokratiska) (NNS kvinnorna)) (PP (IN i) (NP (NN riksdagen)))))))))))))
```

**Dependency distances:**

* Socialdemokraterna -> ville: 6
* ville -> att: 1
* alla -> skulle: 2
* skulle -> få: 1
* få -> rösta: 1
* och -> lyckades: 1
* Efter -> lyckades: 2
* lyckades -> göra: 1
* alla -> fick: 2
* män -> alla: 1
* över -> män: 1
* år -> män: 1
* fick -> rösta: 1
* i -> fick: 2
* riksdagens -> i: 1
* andra -> riksdagens: 1
* kammaren -> andra: 1
* Efter -> lyckades: 2
* ännu -> mer: 1
* mer -> jobb: 1
* och -> kraft: 1
* lyckades -> göra: 1
* de -> lyckades: 1
* år -> gjorde: 2
* alla -> fick: 2
* över -> alla: 1
* år -> alla: 1
* fick -> rösta: 1
* År -> blev: 1
* Agda -> blev: 2
* Östlund -> Agda: 1
* Nelly -> Östlund: 2
* Thüring -> Nelly: 1
* de -> blev: 2
* första -> de: 1
* socialdemokratiska -> de: 1
* kvinnorna -> de: 1
* i -> kvinnorna: 2
* riksdagen -> i: 1

**Average dependency distance:** 40/27 = **1.48**
