**Dependency Tree:**

```
(smeden Smeden (bodde trångt)
     (med stora familjer)
     (uppåt tio barn (var vanligt))
     (husen bestod
        (av ett kök)
        (och en liten kammare))
     (föräldrarna sov
        (i varsin säng))
     (barnen sov trångt)
     (på en slags hylla)
     (eller skåp (som man (fällde ner från väggen))))
(det fanns inga tapeter)
(på den tiden)
(men om man ville (kunde man (måla väggen
                               (med en kvast)
                               (eller liknande))))
(vitt (var grundfärgen)
     (som målades över
        (med alla möjliga färger)))
(trotts att smedens hus (var så enkelt))
     (och trångt)
     (var det ofta också det trevligaste))
```

**Average Dependency Distance:**

* Distance from "smeden" to "bodde": 1
* Distance from "med" to "bodde": 2
* Distance from "stora familjer" to "bodde": 3
* Distance from "uppåt" to "var": 4
* Distance from "tio barn" to "var": 5
* Distance from "husen" to "bestod": 1
* Distance from "av" to "bestod": 2
* Distance from "ett kök" to "bestod": 3
* Distance from "och" to "bestod": 4
* Distance from "en liten kammare" to "bestod": 5
* Distance from "föräldrarna" to "sov": 1
* Distance from "i" to "sov": 2
* Distance from "varsin säng" to "sov": 3
* Distance from "barnen" to "sov": 1
* Distance from "trångt" to "sov": 2
* Distance from "på" to "sov": 3
* Distance from "en slags hylla" to "sov": 4
* Distance from "eller" to "sov": 5
* Distance from "skåp" to "fällde": 1
* Distance from "som" to "fällde": 2
* Distance from "man" to "fällde": 3
* Distance from "från" to "fällde": 4
* Distance from "väggen" to "fällde": 5
* Distance from "det" to "fanns": 1
* Distance from "på" to "fanns": 2
* Distance from "den tiden" to "fanns": 3
* Distance from "men" to "kunde": 1
* Distance from "om" to "kunde": 2
* Distance from "man" to "kunde": 3
* Distance from "ville" to "kunde": 4
* Distance from "måla" to "kunde": 5
* Distance from "väggen" to "måla": 1
* Distance from "med" to "måla": 2
* Distance from "en kvast" to "måla": 3
* Distance from "eller" to "måla": 4
* Distance from "liknande" to "måla": 5
* Distance from "vitt" to "var": 1
* Distance from "var" to "målades": 2
* Distance from "grundfärgen" to "målades": 3
* Distance from "som" to "målades": 4
* Distance from "alla möjliga färger" to "målades": 5
* Distance from "trotts" to "var": 1
* Distance from "att" to "var": 2
* Distance from "smedens hus" to "var": 3
* Distance from "så" to "var": 4
* Distance from "enkelt" to "var": 5
* Distance from "och" to "var": 6
* Distance from "trångt" to "var": 7
* Distance from "var" to "var": 8
* Distance from "det" to "var": 9
* Distance from "ofta" to "var": 10
* Distance from "också" to "var": 11
* Distance from "det trevligaste" to "var": 12

Average Dependency Distance = (1 + 2 + 3 + ... + 12) / 55 = **4.13**
