- Minnet: head=slut, distance=1
- tog: head=slut, distance=2
- slut: head=ord, distance=1
- efter: head=slut, distance=2
- 20: head=ord, distance=1
- ord: head=eller, distance=1
- eller: head=siffror, distance=2
- 10: head=siffror, distance=1
- siffror: head=byggdes, distance=3
- ENIAC: head=byggdes, distance=2
- byggdes: head=för, distance=1
- för: head=armen, distance=1
- armen: head=i, distance=1
- i: head=USA, distance=1
- USA: head=bestod, distance=4
- Minnet: head=bestod, distance=1
- bestod: head=av, distance=1
- av: head=hålkort, distance=1
- hålkort: head=tog, distance=2
- Företaget: head=tog, distance=3
- Eckert-Mauchly: head=tog, distance=2
- tog: head=patent, distance=1
- patent: head=på, distance=1
- på: head=ENIAC, distance=1
- ENIAC: head=men, distance=2
- men: head=förlorade, distance=1
- förlorade: head=det, distance=1
- det: head=senare, distance=1
- senare: head=köptes, distance=2
- Eckert-Mauchly: head=köptes, distance=1
- köptes: head=upp, distance=1
- upp: head=av, distance=1
- av: head=Remington, distance=1
- Remington: head=Rand, distance=1
- Rand: head=som, distance=1
- som: head=började, distance=1
- började: head=serietillverka, distance=1
- serietillverka: head=datorn, distance=1
- datorn: head=köptes, distance=2
- Univac: head=köptes, distance=1
- I: head=köptes, distance=1
- köptes: head=utav, distance=1
- utav: head=folkräkningsbyrå, distance=1
- folkräkningsbyrå: head=i, distance=1
- i: head=USA, distance=1
- USA: head=gjordes, distance=4
- 1951: head=gjordes, distance=3
- Datorn: head=gjordes, distance=1
- gjordes: head=i, distance=1
- i: head=exemplar, distance=1
- 46: head=exemplar, distance=1
- exemplar: head=hette, distance=3
- Plankalkül: head=hette, distance=1
- hette: head=den, distance=1
- den: head=första, distance=1
- första: head=datorns, distance=1
- datorns: head=som, distance=1
- som: head=gjordes, distance=1
- gjordes: head=i, distance=1
- i: head=Tyskland, distance=1
- Tyskland: head=används, distance=2
- den: head=används, distance=1
- används: head=för, distance=1
- för: head=inom, distance=1
- inom: head=millitäten, distance=1
- millitäten: head=gjordes, distance=2
- Datorn: head=gjordes, distance=1
- gjordes: head=av, distance=1
- av: head=Luftwaffe, distance=1
- Luftwaffe: head=i, distance=1
- i: head=1941, distance=1
- 1941: head=., distance=0

Average dependency distance: 223/182=1.23
