| Token | Head | Dependency Distance |
|---|---|---|
| En | bra | 1 |
| bra | sak | 1 |
| sak | med | 1 |
| med | databussen | 1 |
| databussen | är | 1 |
| är | att | 1 |
| att | den | 1 |
| den | använder | 1 |
| använder | tre | 1 |
| tre | spänningsnivåer | 1 |
| spänningsnivåer | och | 1 |
| och | kan | 1 |
| kan | därför | 1 |
| därför | användas | 1 |
| användas | tillsammans | 1 |
| tillsammans | med | 1 |
| med | DMA-enheter | 1 |
| DMA-enheter | . | 0 |
| Dessa | enheter | 1 |
| enheter | har | 1 |
| har | direkt | 1 |
| direkt | minnesåtkomst | 1 |
| minnesåtkomst | och | 1 |
| och | avlastar | 1 |
| avlastar | processor | 1 |
| processor | i | 1 |
| i | vissa | 1 |
| vissa | arbeten. | 0 |
| Kontrollbuss | , | 0 |
| används | för | 1 |
| för | att | 1 |
| att | kontrollera | 1 |
| kontrollera | de | 1 |
| de | olika | 1 |
| olika | undersystemen. | 0 |
| Adressbuss | , | 0 |
| är | helt | 1 |
| helt | enkelt | 1 |
| enkelt | den | 1 |
| den | buss | 1 |
| buss | som | 1 |
| som | ser | 1 |
| ser | till | 1 |
| till | att | 1 |
| att | databussen | 1 |
| databussen | kommer | 1 |
| kommer | rätt. | 0 |
| rätt | . | 0 |
| Den | bär | 1 |
| bär | ut | 1 |
| ut | adresser | 1 |
| adresser | till | 1 |
| till | alla | 1 |
| alla | enheter | 1 |
| enheter | som | 1 |
| som | är | 1 |
| är | anslutna. | 0 |
| Datorn | har | 1 |
| har | också | 1 |
| också | en | 1 |
| en | lokal | 1 |
| lokal | buss | 1 |
| buss | som | 1 |
| som | finns | 1 |
| finns | på | 1 |
| på | moderkortet. | 0 |

Average dependency distance: 1.06
