```
Syfte	0	ROOT
Man	1	nsubj:pass	Syfte
blir	2	cop	Man
mycket	3	advmod	fascinerad
fascinerad	4	partmod	blir
av	5	prep	fascinerad
att	6	mark	av
läsa	7	xcomp:pred	att
om	8	prep	läsa
Sveriges	9	nmod:poss	historia
historia	10	dobj	läsa
för	11	mark	läsa
man	12	nsubj:pass	finner
finner	13	conj:and	blir
alltid	14	advmod	finner
nya	15	amod	saker
intressanta	16	amod	saker
saker	17	dobj	finner
precis	18	advmod	hela
hela	19	flat:mod	tiden
tiden	20	nsubj:pass	finner
Personligen	21	advmod	tycker
så	22	advmod	tycker
tycker	23	conj:and	blir
jag	24	nsubj	tycker
hela	25	amod	tidsepoken
tidsepoken	26	dobj	tycker
är	27	cop	tidsepoken
intressant	28	acomp	är
så	29	advmod	valt
därför	30	advmod	valt
har	31	aux:pass	valt
jag	32	nsubj:pass	valt
valt	33	xcomp:pred	har
att	34	mark	valt
skriva	35	xcomp:inf	att
om	36	prep	skriva
1900-talets	37	nmod:poss	historia
historia	38	dobj	skriva
Detta	39	nsubj:pass	ger
ger	40	conj:and	finner
mig	41	iobj	ger
också	42	advmod	ger
en	43	det	bredare
bredare	44	amod	kunskap
kunskap	45	dobj	ger
och	46	cc	ger
som	47	rel	kunskap
jag	48	nsubj:pass	kommer
alltid	49	advmod	kommer
kommer	50	conj:and	finner
att	51	infmod	kommer
ha	52	xcomp:inf	att
med	53	prep	ha
mig	54	dobj	ha
till	54	case	med
fortsatta	56	amod	studier
studier	57	dobj	ha
3.	58	flat:name	Metoder
Metoder	59	dep	3.
Jag	60	nsubj:pass	letat
har	61	aux:pass	letat
letat	62	xcomp:pred	har
i	63	case	letat
böcker	64	dobj	letat
och	65	cc	letat
använt	66	conj:and	letat
det	67	dobj	använt
jag	68	nsubj:pass	vet
själv	69	advmod	vet
vet	70	conj:and	letat
om	71	prep	vet
historia	72	dobj	vet
som	73	rel	historia
vi	74	nsubj:pass	läst
läst	75	partmod	som
om	76	prep	läst
under	77	case	om
skolåren	78	nmod	under
```

Average dependency distance: 290/78 = 3.72
