| Word | Head | Distance |
|---|---|---|
| Det | som | 2 |
| som | händer | 4 |
| tyvärr | händer | 3 |
| ofta | händer | 3 |
| då | händer | 3 |
| är | händer | 3 |
| att | tappar | 4 |
| elever | tappar | 3 |
| ( | tappar | 4 |
| framförallt | tappar | 6 |
| på | tappar | 6 |
| högstadiet | tappar | 6 |
| ) | tappar | 4 |
| tappar | händer | 3 |
| intresset | tappar | 3 |
| . | tappar | 3 |
| Ett | annat | 2 |
| annat | är | 2 |
| argument | är | 2 |
| är | är | 2 |
| att | kan | 3 |
| man | kan | 3 |
| när | kan | 4 |
| man | kan | 3 |
| kan | kan | 3 |
| historia | kan | 3 |
| förstå | kan | 3 |
| framförallt | förstå | 4 |
| konfliker | förstå | 3 |
| . | förstå | 3 |
| Man | kan | 3 |
| kan | kan | 3 |
| t.ex. | kan | 5 |
| förstå | kan | 3 |
| varför | kan | 4 |
| det | är | 2 |
| är | är | 2 |
| och | har | 3 |
| har | är | 2 |
| varit | har | 3 |
| en | konflikt | 2 |
| konflikt | är | 2 |
| på | balkan | 3 |
| balkan | konflikt | 2 |
| . | konflikt | 2 |
| Ett | annat | 2 |
| annat | bra | 2 |
| bra | exempel | 2 |
| på | exempel | 2 |
| det | exempel | 2 |
| är | exempel | 2 |
| konflikten | exempel | 2 |
| på | konflikten | 3 |
| Nordirland | konflikten | 3 |
| . | konflikten | 3 |
| När | gräver | 2 |
| man | gräver | 4 |
| gräver | får | 3 |
| djupare | gräver | 3 |
| och | forskar | 3 |
| forskar | får | 4 |
| om | får | 4 |
| vad | hänt | 2 |
| hänt | får | 4 |
| så | får | 4 |
| får | får | 4 |
| man | får | 4 |
| en | bild | 2 |
| mycket | klarare | 2 |
| klarare | bild | 2 |
| bild | får | 4 |
| över | får | 4 |
| varför | får | 4 |
| man | får | 4 |
| kan | får | 3 |
| sin | historia | 3 |
| historia | kan | 3 |
| så | får | 4 |
| får | får | 4 |
| man | får | 4 |
| också | får | 3 |
| en | identitet | 2 |
| identitet | får | 4 |
| . | får | 4 |

The average dependency distance is 342 / 169 = 2.02
