Filename,Extracted Number,,,
diva1.txt_gpt-4o-mini,1,diva1.txt,2.35483871,1.35483871
diva10.txt_gpt-4o-mini,1.28,diva10.txt,2.578947368,1.298947368
diva100.txt_gpt-4o-mini,1.71,diva100.txt,2.529411765,0.819411765
diva101.txt_gpt-4o-mini,2.75,diva101.txt,1.294117647,1.455882353
diva102.txt_gpt-4o-mini,1.21,diva102.txt,4.172413793,2.962413793
diva103.txt_gpt-4o-mini,1.25,diva103.txt,2.428571429,1.178571429
diva105.txt_gpt-4o-mini,2,diva105.txt,1.85,0.15
diva107.txt_gpt-4o-mini,1.33,diva107.txt,1.444444444,0.114444444
diva108.txt_gpt-4o-mini,3.47,diva108.txt,3.1,0.37
diva109.txt_gpt-4o-mini,1.5,diva109.txt,2.037037037,0.537037037
diva11.txt_gpt-4o-mini,1.16,diva11.txt,1.684210526,0.524210526
diva110.txt_gpt-4o-mini,1.85,diva110.txt,3.566666667,1.716666667
,,diva111.txt,0,0
diva112.txt_gpt-4o-mini,1.12,diva112.txt,2.518518519,1.398518519
diva113.txt_gpt-4o-mini,1.75,diva113.txt,2.875,1.125
diva114.txt_gpt-4o-mini,2.25,diva114.txt,2.885714286,0.635714286
diva115.txt_gpt-4o-mini,1.05,diva115.txt,2.153846154,1.103846154
diva116.txt_gpt-4o-mini,0.96,diva116.txt,2.740740741,1.780740741
diva117.txt_gpt-4o-mini,1.32,diva117.txt,2.72,1.4
diva118.txt_gpt-4o-mini,1,diva118.txt,2.818181818,1.818181818
diva119.txt_gpt-4o-mini,1.29,diva119.txt,2.344827586,1.054827586
,,diva12.txt,2.8,0
diva120.txt_gpt-4o-mini,1.3,diva120.txt,1.782608696,0.482608696
diva121.txt_gpt-4o-mini,1.64,diva121.txt,2.208333333,0.568333333
diva122.txt_gpt-4o-mini,0.89,diva122.txt,2.615384615,1.725384615
diva123.txt_gpt-4o-mini,1.06,diva123.txt,3.5,2.44
diva124.txt_gpt-4o-mini,1.84,diva124.txt,1.838709677,0.001290323
diva125.txt_gpt-4o-mini,1.32,diva125.txt,3.423076923,2.103076923
diva126.txt_gpt-4o-mini,1.07,diva126.txt,2.6,1.53
diva127.txt_gpt-4o-mini,1.95,diva127.txt,1.95,0
diva128.txt_gpt-4o-mini,1,diva128.txt,2.666666667,1.666666667
diva129.txt_gpt-4o-mini,1.42,diva129.txt,2.909090909,1.489090909
diva13.txt_gpt-4o-mini,3.25,diva13.txt,2.75862069,0.49137931
diva130.txt_gpt-4o-mini,1.2,diva130.txt,1.53125,0.33125
diva131.txt_gpt-4o-mini,1.05,diva131.txt,2.833333333,1.783333333
diva132.txt_gpt-4o-mini,0.56,diva132.txt,4.538461538,3.978461538
diva133.txt_gpt-4o-mini,0.83,diva133.txt,2.19047619,1.36047619
diva134.txt_gpt-4o-mini,1.28,diva134.txt,3.086206897,1.806206897
diva137.txt_gpt-4o-mini,1.17,diva137.txt,0.695652174,0.474347826
diva138.txt_gpt-4o-mini,1.23,diva138.txt,2.5,1.27
diva139.txt_gpt-4o-mini,1,diva139.txt,2.5,1.5
diva143.txt_gpt-4o-mini,1.59,diva143.txt,1.736842105,0.146842105
diva144.txt_gpt-4o-mini,0.72,diva144.txt,2.212121212,1.492121212
diva145.txt_gpt-4o-mini,0.875,diva145.txt,2.961538462,2.086538462
diva146.txt_gpt-4o-mini,1.47,diva146.txt,5.166666667,3.696666667
,,diva148.txt,1.444444444,0
diva149.txt_gpt-4o-mini,1,diva149.txt,2.032258065,1.032258065
diva15.txt_gpt-4o-mini,1,diva15.txt,3.129032258,2.129032258
diva150.txt_gpt-4o-mini,1.3,diva150.txt,2.227272727,0.927272727
diva151.txt_gpt-4o-mini,1.87,diva151.txt,3.033333333,1.163333333
diva152.txt_gpt-4o-mini,0.893,diva152.txt,4.15625,3.26325
diva153.txt_gpt-4o-mini,0.9,diva153.txt,2.47826087,1.57826087
diva154.txt_gpt-4o-mini,1.36,diva154.txt,2.296296296,0.936296296
diva16.txt_gpt-4o-mini,1.38,diva16.txt,2.513513514,1.133513514
diva17.txt_gpt-4o-mini,0.96,diva17.txt,1.387096774,0.427096774
diva18.txt_gpt-4o-mini,1.05,diva18.txt,2,0.95
diva19.txt_gpt-4o-mini,0.8,diva19.txt,3.423076923,2.623076923
diva2.txt_gpt-4o-mini,1,diva2.txt,2.703703704,1.703703704
diva20.txt_gpt-4o-mini,1,diva20.txt,1.4,0.4
diva21.txt_gpt-4o-mini,2.57,diva21.txt,2.571428571,0.001428571
,,diva22.txt,2.886792453,0
diva23.txt_gpt-4o-mini,1.69,diva23.txt,3.058823529,1.368823529
diva24.txt_gpt-4o-mini,1.26,diva24.txt,1.869565217,0.609565217
diva25.txt_gpt-4o-mini,1.3,diva25.txt,2.363636364,1.063636364
diva26.txt_gpt-4o-mini,1.5,diva26.txt,3,1.5
diva27.txt_gpt-4o-mini,0.95,diva27.txt,2.5,1.55
diva28.txt_gpt-4o-mini,1.91,diva28.txt,2.391304348,0.481304348
diva29.txt_gpt-4o-mini,0.83,diva29.txt,3.625,2.795
diva3.txt_gpt-4o-mini,1.8,diva3.txt,3.25,1.45
diva30.txt_gpt-4o-mini,1,diva30.txt,1.423076923,0.423076923
diva31.txt_gpt-4o-mini,1.48,diva31.txt,1.461538462,0.018461538
diva32.txt_gpt-4o-mini,0.95,diva32.txt,2.421052632,1.471052632
diva33.txt_gpt-4o-mini,1.81,diva33.txt,2.65625,0.84625
diva34.txt_gpt-4o-mini,1.08,diva34.txt,2.416666667,1.336666667
diva35.txt_gpt-4o-mini,16.5,diva35.txt,2.628571429,13.87142857
diva36.txt_gpt-4o-mini,0.83,diva36.txt,2.68,1.85
diva37.txt_gpt-4o-mini,1.23,diva37.txt,2.708333333,1.478333333
diva38.txt_gpt-4o-mini,0.97,diva38.txt,2.228571429,1.258571429
diva39.txt_gpt-4o-mini,1.46,diva39.txt,2.125,0.665
diva4.txt_gpt-4o-mini,1.1,diva4.txt,3,1.9
diva40.txt_gpt-4o-mini,0.94,diva40.txt,3.181818182,2.241818182
diva41.txt_gpt-4o-mini,1.5,diva41.txt,2.117647059,0.617647059
diva42.txt_gpt-4o-mini,1,diva42.txt,2.677419355,1.677419355
diva43.txt_gpt-4o-mini,1.17,diva43.txt,2.222222222,1.052222222
diva44.txt_gpt-4o-mini,1.28,diva44.txt,1.764705882,0.484705882
diva45.txt_gpt-4o-mini,1.09,diva45.txt,3.423076923,2.333076923
diva46.txt_gpt-4o-mini,1.67,diva46.txt,2.730769231,1.060769231
diva47.txt_gpt-4o-mini,1.36,diva47.txt,1.655172414,0.295172414
diva48.txt_gpt-4o-mini,1.29,diva48.txt,1.652173913,0.362173913
diva49.txt_gpt-4o-mini,1,diva49.txt,2.208333333,1.208333333
diva5.txt_gpt-4o-mini,1.4,diva5.txt,1.392857143,0.007142857
diva50.txt_gpt-4o-mini,0.88,diva50.txt,1.75,0.87
diva51.txt_gpt-4o-mini,1,diva51.txt,2.7,1.7
diva52.txt_gpt-4o-mini,0.97,diva52.txt,2.303030303,1.333030303
diva53.txt_gpt-4o-mini,1.47,diva53.txt,2.45,0.98
diva54.txt_gpt-4o-mini,1.72,diva54.txt,3.25,1.53
diva55.txt_gpt-4o-mini,1.5,diva55.txt,2.266666667,0.766666667
diva56.txt_gpt-4o-mini,1.12,diva56.txt,1.736842105,0.616842105
diva57.txt_gpt-4o-mini,1.54,diva57.txt,3.176470588,1.636470588
diva58.txt_gpt-4o-mini,1,diva58.txt,1.631578947,0.631578947
diva59.txt_gpt-4o-mini,0.88,diva59.txt,2.833333333,1.953333333
diva6.txt_gpt-4o-mini,0.94,diva6.txt,1.347826087,0.407826087
diva60.txt_gpt-4o-mini,1.73,diva60.txt,2.642857143,0.912857143
diva61.txt_gpt-4o-mini,1.69,diva61.txt,2.657142857,0.967142857
diva62.txt_gpt-4o-mini,1.25,diva62.txt,2.166666667,0.916666667
diva63.txt_gpt-4o-mini,1.21,diva63.txt,3.275862069,2.065862069
diva64.txt_gpt-4o-mini,1.16,diva64.txt,2.5,1.34
diva65.txt_gpt-4o-mini,3.41,diva65.txt,2.071428571,1.338571429
diva66.txt_gpt-4o-mini,0.33,diva66.txt,4.913043478,4.583043478
diva67.txt_gpt-4o-mini,2,diva67.txt,2.80952381,0.80952381
diva68.txt_gpt-4o-mini,1,diva68.txt,2.387096774,1.387096774
diva69.txt_gpt-4o-mini,1.09,diva69.txt,2.954545455,1.864545455
diva7.txt_gpt-4o-mini,1.29,diva7.txt,2.944444444,1.654444444
diva70.txt_gpt-4o-mini,1,diva70.txt,5.642857143,4.642857143
diva71.txt_gpt-4o-mini,1.7,diva71.txt,2.772727273,1.072727273
diva72.txt_gpt-4o-mini,0.76,diva72.txt,2.652173913,1.892173913
diva73.txt_gpt-4o-mini,1.71,diva73.txt,2.5,0.79
diva74.txt_gpt-4o-mini,2.68,diva74.txt,2.806451613,0.126451613
diva75.txt_gpt-4o-mini,1.18,diva75.txt,1.8,0.62
diva76.txt_gpt-4o-mini,2.17,diva76.txt,1.8125,0.3575
diva77.txt_gpt-4o-mini,1.82,diva77.txt,3.129032258,1.309032258
diva78.txt_gpt-4o-mini,0.857,diva78.txt,1.666666667,0.809666667
diva79.txt_gpt-4o-mini,1.62,diva79.txt,2.263157895,0.643157895
diva8.txt_gpt-4o-mini,1,diva8.txt,2.605263158,1.605263158
diva80.txt_gpt-4o-mini,1.25,diva80.txt,2.608695652,1.358695652
diva81.txt_gpt-4o-mini,0.81,diva81.txt,3.571428571,2.761428571
diva82.txt_gpt-4o-mini,0.44,diva82.txt,2.823529412,2.383529412
diva83.txt_gpt-4o-mini,1.85,diva83.txt,3.111111111,1.261111111
diva84.txt_gpt-4o-mini,2.11,diva84.txt,3.258064516,1.148064516
diva85.txt_gpt-4o-mini,2.16,diva85.txt,3.064516129,0.904516129
,,diva86.txt,3.484848485,0
diva87.txt_gpt-4o-mini,1.25,diva87.txt,1.823529412,0.573529412
diva88.txt_gpt-4o-mini,1.4,diva88.txt,2.230769231,0.830769231
