Text,Ground truth,llama,llama diff,gemini-pro,gemini-pro diff,gpt-4o-mini,gpt-4o-mini diff,o1-mini,o1-mini diff
diva1.txt,30.99,33.0,2.01,70.98,39.99,25.38,5.61,37.0,6.01
diva10.txt,35.61,,,47.79,12.18,31.0,4.61,44.5,8.89
diva100.txt,33.85,31.87,1.98,39.78,5.93,28.46,5.39,39.0,5.15
diva101.txt,59.18,56.69,2.49,48.11,11.07,57.5,1.68,68.0,8.82
diva102.txt,45.53,201.41,155.88,63.27,17.74,55.58,10.05,60.0,14.47
diva103.txt,49.7,,,63.16,13.46,31.86,17.84,58.0,8.30
diva105.txt,54.64,47.42,7.22,61.65,7.01,50.5,4.14,66.5,11.86
diva107.txt,41.93,39.0,2.93,15.43,26.50,30.67,11.26,46.0,4.07
diva108.txt,41.0,73.0,32.00,83.51,42.51,38.3,2.70,52.0,11.00
diva109.txt,44.0,36.0,8.00,63.41,19.41,33.0,11.00,48.0,4.00
diva11.txt,46.21,33.0,13.21,30.67,15.54,39.0,7.21,50.0,3.79
diva110.txt,50.36,19.0,31.36,55.0,4.64,41.38,8.98,58.0,7.64
diva111.txt,64.0,62.0,2.00,72.67,8.67,66.85,2.85,67.0,3.00
diva112.txt,57.57,54.65,2.92,85.11,27.54,55.41,2.16,64.0,6.43
diva113.txt,47.73,39.79,7.94,68.0,20.27,34.0,13.73,51.0,3.27
diva114.txt,49.08,62.0,12.92,86.35,37.27,121.0,71.92,64.6,15.52
diva115.txt,59.33,43.47,15.86,98.33,39.00,51.0,8.33,64.0,4.67
diva116.txt,43.25,35.0,8.25,65.31,22.06,32.31,10.94,63.0,19.75
diva117.txt,43.25,42.12,1.13,73.74,30.49,28.0,15.25,51.0,7.75
diva118.txt,54.24,47.947,6.29,66.94,12.70,54.6,0.36,55.6,1.36
diva119.txt,48.56,49.36,0.80,50.63,2.07,26.79,21.77,54.0,5.44
diva12.txt,56.67,65.0,8.33,75.83,19.16,51.81,4.86,65.0,8.33
diva120.txt,34.85,34.9,0.05,41.7,6.85,38.46,3.61,43.0,8.15
diva121.txt,31.0,31.95,0.95,77.87,46.87,31.89,0.89,33.0,2.00
diva122.txt,55.46,44.0,11.46,91.19,35.73,36.0,19.46,60.0,4.54
diva123.txt,64.5,40.67,23.83,95.46,30.96,49.48,15.02,71.0,6.50
diva124.txt,53.19,28.4,24.79,78.5,25.31,46.9,6.29,66.0,12.81
diva125.txt,51.48,40.44,11.04,81.25,29.77,45.54,5.94,56.0,4.52
diva126.txt,50.79,51.18,0.39,72.76,21.97,58.36,7.57,62.0,11.21
diva127.txt,36.28,43.0,6.72,70.0,33.72,30.74,5.54,29.0,7.28
diva128.txt,38.94,19.6667,19.27,76.0,37.06,31.0,7.94,47.0,8.06
diva129.txt,54.6,36.54,18.06,74.0,19.40,35.08,19.52,59.0,4.40
diva13.txt,46.89,36.35,10.54,75.83,28.94,39.04,7.85,50.0,3.11
diva130.txt,51.35,43.21,8.14,68.79,17.44,49.22,2.13,57.0,5.65
diva131.txt,43.81,32.3,11.51,76.0,32.19,36.86,6.95,50.0,6.19
diva132.txt,57.22,42.5,14.72,81.59,24.37,44.72,12.50,64.7,7.48
diva133.txt,53.75,38.37,15.38,73.29,19.54,46.0,7.75,61.0,7.25
diva134.txt,53.0,40.17,12.83,82.55,29.55,60.44,7.44,68.0,15.00
diva137.txt,17.83,22.04,4.21,62.58,44.75,16.34,1.49,27.0,9.17
diva138.txt,32.83,45.0,12.17,82.55,49.72,41.0,8.17,44.8,11.97
diva139.txt,22.67,28.89,6.22,83.0,60.33,29.18,6.51,33.0,10.33
diva143.txt,47.52,38.08,9.44,19.11,28.41,46.0,1.52,51.0,3.48
diva144.txt,44.12,36.61,7.51,86.81,42.69,31.0,13.12,48.4,4.28
diva145.txt,49.08,40.05,9.03,70.95,21.87,41.88,7.20,55.0,5.92
diva146.txt,49.37,56.15,6.78,72.69,23.32,45.32,4.05,55.0,5.63
diva148.txt,55.88,51.0,4.88,91.47,35.59,49.22,6.66,62.0,6.12
diva149.txt,56.95,48.14,8.81,75.62,18.67,75.0,18.05,67.0,10.05
diva15.txt,49.92,36.25,13.67,88.0,38.08,36.54,13.38,53.0,3.08
diva150.txt,55.83,40.44,15.39,95.54,39.71,32.87,22.96,59.0,3.17
diva151.txt,47.68,46.19,1.49,70.07,22.39,45.74,1.94,53.0,5.32
diva152.txt,55.82,20.67,35.15,34.36,21.46,41.63,14.19,,
diva153.txt,55.33,48.65,6.68,68.79,13.46,51.03,4.30,59.0,3.67
diva154.txt,44.48,,,70.69,26.21,45.0,0.52,48.0,3.52
